MSE,Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
6.0352087,0.45324606,0.8871958659847764,1.3906488470183256,7.667805076276437,-2.55430103868878,779.3051339343667,557.0608204195441,1991.2056589730944,-470.743749413088,-0.008885368,0.38448155,0.99998266,-0.9999386,878.3913043478261,314.7139127539603,1000,23,10,0.0211749944434745,1.090119264726129,6.575439105107598,-3.9562638845222384,21.17499444347451,683.5089994476042,1100.6539867065026,-727.5470056382545,-0.019108048,0.52512455,0.9995151,-0.9996377,1000.0,0.0,1000,1000,779.3051339343667,6,10000,10,94.24309417232871,0,18.87376336939633,113.11685754172504,141.38919944898225,0
6.0352087,0.14265403,1.0842510844973907,1.9195403653236458,7.331060356646702,-2.611854522972692,776.6228802475789,951.1689334515584,3393.740024095126,-774.3841739269456,0.08381879,0.4639823,0.999996,-0.9999686,716.2758620689655,428.77458884366024,1000,11,10,0.7306023007446828,1.6727770138499543,7.227889881704854,-2.125695934151338,730.6023007446836,893.2660955071394,2048.2542064766253,-877.0720002885554,0.07255032,0.4585398,0.99994504,-0.9999998,1000.0,0.0,1000,1000,776.6228802475789,16,20000,20,158.18251079088077,28.27966032992117,18.435207922477275,204.89737904327922,346.57225169986486,1
6.0352087,0.08894986,1.45647564373008,1.78098811807877,7.666431296222697,-3.0025237721991687,704.2406517350112,767.9644641135149,3181.5651320432266,-376.0541174654425,0.033121053,0.41259533,0.99944156,-0.99996966,483.5238095238095,440.16562024155223,1000,10,10,0.975333274962866,2.2890426961977046,7.414494406656161,-3.6881976866121775,975.3332749628632,1166.4489268508355,2565.4890663171927,-1862.7151249692158,0.09341692,0.53447044,1.0,-1.0,1000.0,0.0,1000,1000,704.2406517350112,26,30000,30,154.739702899009,28.595999788027257,17.897606937214732,201.23330962425098,544.6960483624134,2
6.0352087,0.059339877,2.317471058977671,2.3757253587826246,7.204116329162957,-2.3611046811731238,1144.2237464290463,1441.1535622436281,4647.7654170925625,-641.0342955618282,0.04111029,0.4517542,1.0,-1.0,493.73809523809524,431.4900572448151,1000,10,10,0.3574663445416575,1.7554060506209734,7.344149752971418,-2.892467845336352,357.46634454165803,1053.2634537043714,2221.9425600334844,-1307.6457473405055,0.1334359,0.51778424,1.0,-1.0,1000.0,0.0,1000,1000,1144.2237464290463,36,40000,40,152.61663533607498,25.49150979798287,17.763790457043797,195.87193559110165,740.757148445351,3
6.0352087,0.05152248,0.718736993958756,1.852369163853169,8.214649189895852,-3.097156353943106,413.21216549823106,795.2529700735793,3169.589650454888,-1309.560812429789,0.10850556,0.48644617,1.0,-1.0,574.9142857142857,452.54558548148003,1000,11,10,0.4750030313579735,2.167735528345745,7.69337334198616,-2.807465317965729,475.0030313579734,1389.331522505062,3229.6410872604274,-984.3167687631146,0.17480648,0.5555627,1.0,-1.0,1000.0,0.0,1000,1000,413.21216549823106,46,50000,50,146.63566988077946,25.65711548505351,16.85976162320003,189.152546989033,929.6853533440735,4
6.0352087,0.04368075,0.7535879083538648,1.5664884033849964,7.563621253923259,-2.0419763457546587,536.7105054876112,676.3315101390358,2898.664000060786,-807.4686166914414,0.16516143,0.42121026,0.99976623,-0.9999526,712.2068965517242,435.13076744815885,1000,11,10,-0.09508528569997829,2.3043620248638614,7.36818068622982,-3.1044546673937985,-95.08528569997603,1110.912164739571,1888.9974802598363,-1618.2592205758906,0.22699282,0.63078487,1.0,-1.0,1000.0,0.0,1000,1000,536.7105054876112,56,60000,60,147.43628770764917,25.460294011980295,16.70114511763677,189.59772683726624,1119.8648440267425,5
6.0352087,0.03315757,0.6405050151390895,1.5122764877696453,7.081465874274002,-2.702171446698019,371.9687125062039,469.9953470885967,1272.1433586403034,-1109.2644236617505,0.14227419,0.45126492,1.0,-1.0,580.7428571428571,459.9049804257486,1000,12,10,0.2737407401735759,1.9136973733515468,7.10391565275259,-3.0836146000907947,273.7407401735759,1175.5793565110773,2925.697438613037,-1468.6843423228177,0.18426295,0.5526238,1.0,-1.0,1000.0,0.0,1000,1000,371.9687125062039,66,70000,70,145.57462479686365,26.0418479940854,16.982051425613463,188.5985242165625,1309.3228113416117,6
6.0352087,0.027588606,0.8234145589774466,1.885237763743975,7.751353415499153,-2.7238016899217405,440.2017569901804,653.6734175211517,1896.4787323992848,-1793.124154001571,0.13676621,0.46952817,1.0,-1.0,534.6052631578947,451.2838142731586,1000,12,10,0.26042293789679327,1.1825825666729965,7.1269131412525795,-3.2610102642611114,260.42293789679263,796.3042835111341,700.9392174425791,-2085.5040369441294,0.16867365,0.46044013,1.0,-1.0,1000.0,0.0,1000,1000,440.2017569901804,76,80000,80,158.25282886181958,26.910523026017472,18.70822887821123,203.87158076604828,1515.1266220498364,7
6.0352087,0.023026153,0.6223830578509566,1.9053311668004784,7.85471579814309,-3.4343785074797735,265.122216330803,637.0667277051989,1749.3687607074783,-2330.485523837191,0.19592704,0.47410443,1.0,-1.0,425.9791666666667,450.2686461798544,1000,10,10,0.12477001589423731,1.6006624769374198,7.730047050404245,-3.212014286916424,124.77001589423642,1169.7658128058072,1528.9600845946386,-2424.5053064870226,0.20049101,0.5157307,1.0,-1.0,1000.0,0.0,1000,1000,265.122216330803,86,90000,90,158.86445385217667,28.863570322981104,19.508810126921162,207.23683430207893,1722.5978098830674,8
6.0352087,0.024038702,0.18855296439668656,1.6728009578354779,7.181034677484696,-3.2959808495493643,78.83085186484864,584.5100996337621,2172.8643129128,-2179.812226978073,0.24284177,0.5061077,1.0,-1.0,418.0833333333333,471.7773059282196,1000,11,10,0.6618124406850276,1.5356653080806972,7.486000384608268,-1.2210553073539687,661.8124406850272,716.456102963703,2531.5368047149336,-125.2740005146267,0.18299235,0.42811,0.99813855,-0.9913279,1000.0,0.0,1000,1000,78.83085186484864,96,100000,100,159.314510170836,29.076807264005765,19.121807077201083,207.51312451204285,1929.0144291699398,9
