MSE,Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
5.000755,0.05886408,-0.17068113086336129,0.6978228235973243,5.491846313683686,-0.8649210582922252,-170.68113086336135,149.86311787654702,230.17404239438682,-306.3679754586717,-0.13698737,0.72370243,0.9999088,-0.9993499,1000.0,0.0,1000,1000,10,-0.0071264945289454314,0.9764987265647515,5.330687552457693,-3.0912806955916814,-7.126494528945455,456.7040126133699,1164.426559115941,-302.4618360274728,-0.055219963,0.6179035,0.9998019,-0.99927634,1000.0,0.0,1000,1000,-170.68113086336135,6,10000,10,94.54559381199988,0,14.231222038001306,108.77681585000119,122.09583910300034,0
5.000755,0.029034337,-0.024184254234773498,0.9310292911698604,5.294339519999698,-0.9985677159487316,-24.18425423477345,321.5986343194843,729.5756219620096,-368.4520509422876,-0.080986366,0.78184885,0.9999983,-0.99982774,1000.0,0.0,1000,1000,10,0.15717703566457442,1.1558098034659647,5.422523820149779,-0.7448455639074325,157.1770356645746,666.4450246929213,1516.5078302956013,-364.3683461384846,-0.06963745,0.734876,0.9999971,-0.999623,1000.0,0.0,1000,1000,-24.18425423477345,16,20000,20,156.00742539099883,13.356940380999731,8.790577257001132,178.1549430289997,299.14586474100224,1
5.000755,0.018363439,-0.023239053363974124,1.002678276437513,5.989903577611938,-1.076656820200003,-23.23905336397397,298.8692311227771,993.2325119348911,-373.7284078274061,-0.12756748,0.7899149,0.99999917,-0.9999848,1000.0,0.0,1000,1000,10,0.023587384608620584,0.9746115491948512,5.5929589964331115,-0.9898048906657243,23.587384608620546,270.61624105132586,582.9369497508023,-408.15138607505577,-0.09670009,0.7790739,0.99999833,-0.99998057,1000.0,0.0,1000,1000,-23.23905336397397,26,30000,30,155.2993297539988,12.240353090000099,8.626785164999092,176.16646800899798,476.7017265139989,2
5.000755,0.014996672,-0.30289933129265517,0.46511184809489287,4.102044199150906,-1.1710657799810316,-302.899331292655,78.06755980380473,-52.72153129953722,-406.00448679841816,-0.22591403,0.79403687,0.99999994,-0.9999996,1000.0,0.0,1000,1000,10,-0.17082475430250849,0.6562570342766805,3.963948059846561,-1.0978879472879348,-170.82475430250844,168.83468147750216,192.6277097481743,-370.6109662587433,-0.18002453,0.77782947,0.9999998,-0.99992514,1000.0,0.0,1000,1000,-302.899331292655,36,40000,40,156.07307814300202,13.626048925999385,8.747726738001802,178.4468538070032,654.9422000240024,3
5.000755,0.011789549,-0.2816847665544637,0.5543745150502424,4.940599892781866,-1.4593687182298711,-281.68476655446375,96.17117394053807,-47.70260367468147,-404.0952708329306,-0.19784269,0.8008603,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.3191125342372336,0.3376234037550126,3.0491670712591374,-1.0161752990744004,-319.1125342372337,56.61595229352689,-177.36960358645737,-373.21974521446043,-0.2269466,0.8251797,0.9999998,-0.9999999,1000.0,0.0,1000,1000,-281.68476655446375,46,50000,50,156.07709040900045,13.429764924000665,8.77180550399953,178.27866083700064,833.4593922490026,4
5.000755,0.010269551,-0.3359395248846912,0.3236334048917814,3.9654830720161867,-1.3751392829201805,-335.93952488469125,38.554003041939104,-224.07819640644297,-376.7613021347056,-0.401805,0.6963079,1.0,-0.99999994,1000.0,0.0,1000,1000,10,-0.34407496807930416,0.42974755730554154,3.690325156223364,-1.3003518233341753,-344.0749680793039,81.35282939959909,-197.15702828375984,-506.71416416434414,-0.24958792,0.824113,1.0,-1.0,1000.0,0.0,1000,1000,-335.93952488469125,56,60000,60,155.6658544209995,13.672255663000215,8.69987242300067,178.03798250700038,1010.316956981002,5
5.000755,0.0063795727,-0.3932536954070116,0.2758942693879519,3.4670543285466495,-1.245973062216356,-393.2536954070112,44.02895195445121,-316.7866507587218,-480.382006602148,-0.3752862,0.7603874,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.39863285837269397,0.2673812084794505,2.457268543002466,-1.1971640751473114,-398.63285837269416,56.33269416832755,-321.7773414760131,-477.97692475856394,-0.34600544,0.7863844,1.0,-1.0,1000.0,0.0,1000,1000,-393.2536954070112,66,70000,70,156.08865109399903,12.495160792000206,8.657289859002049,177.2411017450013,1187.5662254760014,6
5.000755,0.0076228604,-0.42644534922192645,0.2657422016290489,3.2959883210663348,-1.5564187092736357,-426.4453492219266,63.57396519346912,-313.96713438556907,-504.8620647752212,-0.34419265,0.80422944,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.3626693036997799,0.3074865054193312,3.254696983503996,-1.5816050604092031,-362.66930369978013,61.43434774950285,-263.28769815812024,-449.32460535373593,-0.3605858,0.738205,1.0,-1.0,1000.0,0.0,1000,1000,-426.4453492219266,76,80000,80,155.84567335599968,12.633746157999667,8.600982298999952,177.0804018129993,1365.6273352139992,7
5.000755,0.005524043,-0.39110878819539885,0.4085492704508921,3.9430949849685293,-1.8145661220883142,-391.10878819539863,73.80208828591913,-183.1200480007609,-475.35262543350774,-0.25114498,0.83556944,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.38934792815151203,0.337446769867856,3.297086770454816,-1.7516514059672184,-389.3479281515116,76.9170645235468,-268.7536685287154,-480.87443208480124,-0.29139662,0.80336756,1.0,-1.0,1000.0,0.0,1000,1000,-391.10878819539863,86,90000,90,155.887376278999,13.486554762000196,8.688349447000292,178.0622804879995,1543.5947070119996,8
5.000755,0.0059905974,-0.44496750066174234,0.28657977014639946,3.6034239961312977,-1.464521999803225,-444.9675006617423,40.985076914025875,-344.7181664736127,-478.026475018088,-0.20260465,0.87396836,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.41442937130831814,0.4012003104291213,4.313937338913332,-1.79975903354741,-414.42937130831825,77.91197359735565,-244.4936939388064,-505.0963428996648,-0.2415575,0.85451096,1.0,-1.0,1000.0,0.0,1000,1000,-444.9675006617423,96,100000,100,155.89786555299906,13.390783362000548,8.674951985998632,177.96360090099824,1720.8107549679967,9
5.000755,0.0043886574,-0.41434138959960054,0.3839612255427683,4.478537120594025,-1.836956009556939,-414.34138959959967,56.57257565937505,-241.0818212866232,-479.5335896257083,-0.11947603,0.88396525,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.42582191088046867,0.37546460351492017,3.884135187227888,-1.7888373657676258,-425.82191088046784,53.10175744161208,-334.8910354520511,-483.27092678734715,-0.19388968,0.8759967,1.0,-1.0,1000.0,0.0,1000,1000,-414.34138959959967,106,110000,110,155.4765420249978,12.64350295300028,8.606543436999345,176.72658841499742,1898.3223548569945,10
5.000755,0.003080848,-0.41997064665831374,0.32072223008166956,3.8272227941438386,-1.5218425558083886,-419.97064665831397,53.65438089669654,-260.20682744240133,-485.1405311153593,-0.14713512,0.8735496,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4078049256117618,0.34895498414432374,3.561547748417216,-1.2143349027701094,-407.80492561176163,63.09669850045199,-268.83942553834777,-480.8559483918109,-0.15094881,0.8671405,1.0,-1.0,1000.0,0.0,1000,1000,-419.97064665831397,116,120000,120,155.65986773699933,13.428129455999624,8.7153431070019,177.80334030000085,2076.333745679995,11
5.000755,0.004103627,-0.4039229418426211,0.41236724685118037,4.004591732881917,-1.565971588870201,-403.92294184262084,73.69993596559316,-199.9598073060209,-500.5119502744275,-0.1507108,0.8766222,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4379039863817643,0.3179676161634078,2.9452910090952185,-1.2926817584453194,-437.90398638176396,37.898968469906215,-350.5857634041856,-495.4761476140712,-0.11293081,0.89288807,1.0,-1.0,1000.0,0.0,1000,1000,-403.92294184262084,126,130000,130,155.89155993499935,13.640077093999935,8.738878927001679,178.27051595600096,2254.5069885839953,12
5.000755,0.004015029,-0.4414905568955271,0.3483187914363808,3.6859280835188573,-1.7051005626215963,-441.4905568955243,40.99362987708313,-345.83705253551625,-492.54203088648075,-0.10168015,0.9036327,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4425407581762971,0.3189232266782223,3.540170971543256,-1.4291783335921486,-442.54075817629763,55.94534782973226,-341.5295379162207,-499.89908447633115,-0.13448198,0.8910621,1.0,-1.0,1000.0,0.0,1000,1000,-441.4905568955243,136,140000,140,156.15656653800124,13.544175597000503,8.695787058998576,178.39652919400032,2433.1028967399966,13
5.000755,0.0033971756,-0.45517033111683397,0.2639859940225906,3.655286200499692,-1.9475178621633957,-455.1703311168338,40.796800968588094,-372.1108932055981,-503.5719012776072,-0.10727221,0.8955467,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.42676252926377,0.373327649429655,4.466418300630215,-1.2387796218429197,-426.76252926377003,78.38908742651586,-245.81789672618487,-515.2833483742577,-0.12598991,0.89089763,0.99999994,-1.0,1000.0,0.0,1000,1000,-455.1703311168338,146,150000,150,155.74081138700058,13.744435594000606,8.709852158000103,178.1950991390013,2611.1902605449973,14
5.000755,0.0021545468,-0.45331458709960126,0.29530779128196316,3.711894181113896,-1.3076514175779637,-453.31458709960117,55.25476812407851,-356.66859602650396,-526.1507182819932,-0.13470669,0.89377755,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.47693300982521253,0.2781209648683676,3.848807077279671,-1.230148579875983,-476.9330098252125,38.39692174348764,-386.5350175552755,-518.7583064350947,-0.04215609,0.9222541,1.0,-1.0,1000.0,0.0,1000,1000,-453.31458709960117,156,160000,160,155.5879103720008,13.640902575999462,8.735697011999946,177.9645099600002,2788.4391860659985,15
5.000755,0.0031196587,-0.4132217201422469,0.3363753296186728,3.6112465553558395,-2.403940432126441,-413.2217201422469,61.635729432556275,-187.50442843454096,-493.344858757548,-0.16138926,0.86597264,0.9999998,-1.0,1000.0,0.0,1000,1000,10,-0.423610636868737,0.3589167503024638,3.171136610278199,-2.15719552031236,-423.61063686873666,70.40761649716774,-246.84828937240823,-513.3039749207916,-0.104829974,0.8896766,0.99999994,-1.0,1000.0,0.0,1000,1000,-413.2217201422469,166,170000,170,155.77070889899915,12.923974996000652,8.58746280700143,177.28214670200123,2966.185242935999,16
5.000755,0.001871838,-0.3985991993624673,0.34313952327404573,3.909114519747258,-1.3885794583510942,-398.59919936246746,48.64823168770607,-299.44907289417074,-493.028205400894,-0.17948312,0.84844714,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.39784217309673603,0.40234566743677286,4.635829036238122,-1.807570600381569,-397.8421730967362,59.510857403084515,-301.3931346210401,-475.98742910117096,-0.1260401,0.868622,1.0,-1.0,1000.0,0.0,1000,1000,-398.59919936246746,176,180000,180,155.44639196499975,13.389030473000275,8.650141507001536,177.48556394500156,3143.4447098680007,17
5.000755,0.0020983308,-0.3464192309439347,0.38108022537778535,3.5587024855219855,-1.6237827735298487,-346.41923094393474,68.83319129487703,-186.08460089428496,-443.70474126276343,-0.17933732,0.81615907,0.99999994,-1.0,1000.0,0.0,1000,1000,10,-0.3268480778509971,0.47687584595862775,3.783906182577357,-1.8656590918013924,-326.8480778509971,94.74558348122541,-114.81360951027717,-422.0129050205711,-0.15017182,0.83271563,0.99999994,-1.0,1000.0,0.0,1000,1000,-346.41923094393474,186,190000,190,155.19118872199942,13.16297555499932,8.644193308000467,176.9983575849992,3320.5878654560015,18
5.000755,0.0019470738,-0.3603041036354187,0.3660282195527384,4.694559431840907,-1.8532713585003993,-360.3041036354188,56.020187573265204,-167.9765618688468,-424.38167525587613,-0.12099221,0.8294135,0.9999999,-1.0,1000.0,0.0,1000,1000,10,-0.31678765423836747,0.4727166472266828,4.087087199043564,-1.4825296709614513,-316.7876542383675,139.94566291750212,58.30346975853101,-444.687659604547,-0.15590076,0.8192335,0.9999998,-1.0,1000.0,0.0,1000,1000,-360.3041036354188,196,200000,200,154.99098489900007,13.311525402999905,8.71258581100119,177.01509611300116,3497.915680974001,19
5.000755,0.002445838,-0.28717651248153714,0.5198934501932689,4.512218664335814,-1.9740984053022543,-287.17651248153715,105.5709355160082,-36.20901668003142,-429.71419323021803,-0.12578863,0.8070435,0.99999994,-1.0,1000.0,0.0,1000,1000,10,-0.34256651679375966,0.42047067400325905,4.337133192169206,-1.6128109271172015,-342.56651679376,47.8861556333688,-276.98873110638084,-405.22298209547625,-0.18590532,0.813399,0.9999998,-1.0,1000.0,0.0,1000,1000,-287.17651248153715,206,210000,210,153.19456368200008,13.668612853999548,8.728332030000274,175.5915085659999,3673.508712094001,20
5.000755,0.0020804657,-0.45498053954966744,0.5625789203682102,4.017549878593698,-2.155461748663204,-454.9805395496672,133.96419466014618,-157.6738675613993,-678.2252793722973,-0.0206129,0.8138107,0.9999997,-1.0,1000.0,0.0,1000,1000,10,-0.3142463107700905,0.4752708966179916,3.9511695956665625,-1.583345148934236,-314.24631077009053,101.9733959102762,-147.85542968808755,-438.26274593293005,-0.097548924,0.82668793,0.99999994,-1.0,1000.0,0.0,1000,1000,-454.9805395496672,216,220000,220,154.71488672900068,13.791064848999667,8.716217182000037,177.2221687600004,3850.6314436900016,21
5.000755,0.0013989583,-0.3010886520003157,0.5240218955255705,3.6344606793921086,-1.9174656489229247,-301.0886520003167,116.38801485396795,59.79982584510215,-401.5060054944717,-0.06708573,0.8320103,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.34524895763566193,0.44555123450907974,3.701997418097512,-2.018443802720949,-345.24895763566184,84.47685641516298,-153.57621060127832,-431.98946281962435,-0.06593585,0.836906,0.9999999,-1.0,1000.0,0.0,1000,1000,-301.0886520003167,226,230000,230,154.86181329100054,13.521999132000019,8.795774781000546,177.1795872040011,4027.761388325003,22
5.000755,0.0021364198,-0.37029620508823335,0.49097878446466775,5.489432747634756,-1.8224257237710169,-370.29620508823336,93.54173997316195,-152.96657133154267,-523.9946959321531,0.004743936,0.81002057,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4348309558416402,0.41799855874430075,4.201645435158591,-1.879377168821334,-434.83095584163993,63.93397223317773,-358.59016273217424,-579.2290401219157,-0.015508416,0.8263143,1.0,-1.0,1000.0,0.0,1000,1000,-370.29620508823336,236,240000,240,155.31914404500185,13.477782067999215,8.729560476002007,177.52648658900307,4205.431212126006,23
5.000755,0.0035617687,-0.4704241117747035,0.5111662995402029,4.117744983914018,-2.009512472425306,-470.4241117747034,123.53658342921122,-159.8913942755067,-646.726664291626,0.0077331355,0.78653735,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.41143996526972676,0.5729570554434521,3.828360387114421,-2.3424058019146314,-411.4399652697267,178.53920120059607,-79.29899699016943,-729.5342536798084,0.0142660765,0.79883695,1.0,-1.0,1000.0,0.0,1000,1000,-470.4241117747034,246,250000,250,155.9718980430007,13.65965547199994,8.755436217001261,178.3869897320019,4383.7036012620065,24
5.000755,0.0037578759,-0.3047839730864955,0.6475796869945961,4.879643702776489,-2.4325172946816567,-304.7839730864956,132.18991642207806,-30.237010631173636,-532.1197897878523,0.0050477437,0.7815233,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4056262847147024,0.599486560733651,4.737338293574158,-2.075887176536726,-405.6262847147026,147.65344512543282,-200.1842451284867,-650.9480770253566,0.03560312,0.8003075,1.0,-1.0,1000.0,0.0,1000,1000,-304.7839730864956,256,260000,260,154.9666504569941,13.54057788800128,8.776767496001412,177.2839958409968,4561.043416854001,25
