Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.02133095,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00090034056,0.110544614,0.5299796,-0.419145,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.20164634,0.53473264,0.9999998,-0.9969479,1000.0,0.0,1000,1000,1000.0,10,10000,60,161.2115603829734,0,14.544740078912582,175.75630046188598,194.84749523585197,0
0.018572321,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00054552394,0.0767186,0.83811814,-0.85077506,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-2.8862136e-05,0.07736708,0.8367294,-0.8305345,1000.0,0.0,1000,1000,1000.0,20,20000,70,161.5587594648241,19.119447387987748,15.032754046027549,195.7109608988394,390.79329524276545,1
0.02013488,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00013603366,0.06662899,0.7224485,-0.6058673,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.507455e-05,0.06879248,0.8172024,-0.70874614,1000.0,0.0,1000,1000,1000.0,30,30000,80,160.98847416596254,19.36509488604497,15.220060859981459,195.57362991198897,586.7717648476828,2
0.005291244,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.000555994,0.062920615,0.7180214,-0.7438781,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-1.1129892e-05,0.06449782,0.7187556,-0.5807798,1000.0,0.0,1000,1000,1000.0,40,40000,90,162.3440653749858,19.770599005976692,15.764007695019245,197.87867207598174,784.8332195986295,3
0.010507217,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00025310874,0.07874584,0.77382725,-0.7895149,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0001084837,0.064719014,0.73637295,-0.73617065,1000.0,0.0,1000,1000,1000.0,50,50000,100,161.5240989140002,19.95372985198628,15.564620171033312,197.0424489370198,981.9742440986447,4
0.005922694,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00013899227,0.0758605,0.8402047,-0.8097176,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.895901e-05,0.07631859,0.81467724,-0.8030775,1000.0,0.0,1000,1000,1000.0,60,60000,110,161.37186493707122,20.056983142043464,15.242464041977655,196.67131212109234,1178.8654724317603,5
0.0121894535,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00032961223,0.076847576,0.88495135,-0.8050971,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00014565632,0.076663956,0.8906305,-0.8300469,1000.0,0.0,1000,1000,1000.0,70,70000,120,161.8709950609482,20.27293794200523,15.44534372491762,197.58927672787104,1376.4598238496692,6
0.0026345924,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00011788034,0.069372684,0.93871343,-0.82219136,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00014182586,0.07745346,0.9212,-0.8686771,1000.0,0.0,1000,1000,1000.0,80,80000,130,162.1009385579382,20.28802557598101,15.334278443129733,197.72324257704895,1574.2691997826332,7
0.0095659625,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-2.3512675e-06,0.06028938,0.9528949,-0.83213913,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00013639436,0.071855925,0.9531051,-0.8825593,1000.0,0.0,1000,1000,1000.0,90,90000,140,162.39928452204913,20.381744373997208,15.885751244961284,198.66678014100762,1772.8954501786502,8
0.008896668,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.8502556e-05,0.064523675,0.96164,-0.86313623,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.392039e-05,0.06340295,0.9558685,-0.84348476,1000.0,0.0,1000,1000,1000.0,100,100000,150,161.7230889959028,20.327726494986564,15.888997935049701,197.93981342593906,1970.9216905665817,9
