Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0351607,1.0,0.0,1.0,1.0,16.36385936222404,1.2054260616201036,19.0,14.0,-0.023941182,0.012199972,0.00011292414,-0.0403859,16.36385936222404,1.2054260616201036,19,14,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00024455794,0.20036204,0.9954109,-0.9992677,1000.0,0.0,1000,1000,16.36385936222404,10,10000,60,23.338320129550993,0,20.154702716507018,43.49302284605801,67.06398452911526,0
0.03904584,1.0,0.0,1.0,1.0,248.53086419753086,4.789614329567897,257.0,239.0,0.03456093,0.14351107,0.8848522,-0.10677147,248.53086419753086,4.789614329567897,257,239,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.54615295,0.37547743,0.9999926,-0.12838055,1000.0,0.0,1000,1000,248.53086419753086,20,20000,70,23.430476360954344,23.62220390699804,20.19742328673601,67.2501035546884,135.8035878064111,1
0.053234547,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-1.5993008e-06,0.0017526327,0.072481245,-0.048190016,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.13994141,0.3430483,0.99999934,-0.12962168,1000.0,0.0,1000,1000,1000.0,30,30000,80,23.887729921378195,25.107558852992952,21.098508432507515,70.09379720687866,205.00014854315668,2
0.051646452,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.3049785e-05,0.007110459,0.24558493,-0.09570113,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-1.5932757e-05,0.012775162,0.19637375,-0.0737009,1000.0,0.0,1000,1000,1000.0,40,40000,90,23.169721955433488,24.170987403951585,18.81357127521187,66.15428063459694,271.1253517270088,3
0.03971761,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.11319e-05,0.012460742,0.37920064,-0.20580128,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.6453635e-05,0.011368466,0.3171114,-0.15022318,1000.0,0.0,1000,1000,1000.0,50,50000,100,23.24261572305113,24.19002814590931,19.758525678887963,67.1911695478484,338.45561697892845,4
0.027804196,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.4350796e-05,0.02250307,0.5612364,-0.4157928,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.9198606e-05,0.015717775,0.45101973,-0.3583676,1000.0,0.0,1000,1000,1000.0,60,60000,110,23.938800412230194,24.33347866125405,21.42961499094963,69.70189406443387,411.2256171172485,5
0.01905524,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.1776525e-05,0.028316744,0.6954254,-0.5291139,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.074294e-05,0.026229369,0.6667512,-0.4964993,1000.0,0.0,1000,1000,1000.0,70,70000,120,26.97285764478147,27.39881871175021,25.167427621781826,79.5391039783135,489.78753941413015,6
0.05711144,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.872087e-05,0.03773033,0.7851408,-0.69802195,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.2586274e-05,0.035133623,0.77357864,-0.66283774,1000.0,0.0,1000,1000,1000.0,80,80000,130,23.48442087881267,26.423590348102152,19.84016270004213,69.74817392695695,557.2657327931374,7
0.027306667,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.587967e-05,0.048031133,0.8623368,-0.7638475,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.871885e-05,0.040137704,0.8180154,-0.752625,1000.0,0.0,1000,1000,1000.0,90,90000,140,23.341820533387363,24.161013967357576,19.87923674751073,67.38207124825567,625.0155737111345,8
0.036835846,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.038731e-05,0.057133123,0.9124636,-0.9074392,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.1988805e-05,0.045371857,0.89253175,-0.81220824,1000.0,0.0,1000,1000,1000.0,100,100000,150,23.44383041653782,24.529757484793663,20.701079580001533,68.67466748133302,694.1556826625019,9
0.04155759,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.719453e-05,0.047527447,0.91436917,-0.8141446,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.998468e-05,0.05088209,0.928339,-0.9070445,1000.0,0.0,1000,1000,1000.0,110,110000,160,23.21028295531869,24.998023045249283,20.482504644431174,68.69081064499915,762.0217453483492,10
0.0349349,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00012322927,0.049577944,0.9495104,-0.92323804,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.314643e-05,0.057716746,0.9494231,-0.9235152,1000.0,0.0,1000,1000,1000.0,120,120000,170,23.198244049213827,24.170117208734155,19.731780619360507,67.10014187730849,829.2341637695208,11
0.011604043,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00013578498,0.06717967,0.9757331,-0.9316836,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.196824e-05,0.05848385,0.9699286,-0.903451,1000.0,0.0,1000,1000,1000.0,130,130000,180,23.46989155188203,24.296080514788628,20.1354142986238,67.90138636529446,898.1074389088899,12
0.008016035,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.6477194e-05,0.053187482,0.9793141,-0.9388421,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-9.530458e-05,0.072820224,0.97559685,-0.9376198,1000.0,0.0,1000,1000,1000.0,140,140000,190,22.516214185394347,25.26572371646762,20.594380635768175,68.37631853763014,967.40556735266,13
0.008451958,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-1.31785155e-05,0.073474765,0.97938895,-0.9273113,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.218181e-05,0.072170965,0.97863114,-0.9417233,1000.0,0.0,1000,1000,1000.0,150,150000,200,25.42657173704356,26.193268422968686,24.04656375851482,75.66640391852707,1043.3667865041643,14
0.016538067,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.9690286e-05,0.070772894,0.9727225,-0.86805034,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.000117644595,0.08255043,0.97752094,-0.9312333,1000.0,0.0,1000,1000,1000.0,160,160000,210,22.641984278336167,26.493696440011263,19.62652868591249,68.76220940425992,1109.6547768292949,15
0.021392874,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,5.3818553e-06,0.102471426,0.9883316,-0.9257801,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.181512e-05,0.06500804,0.98121685,-0.9408095,1000.0,0.0,1000,1000,1000.0,170,170000,220,23.29314676206559,24.01925209350884,19.386537144891918,66.69893600046635,1177.1534043764696,16
0.0059352648,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.196417e-07,0.06828526,0.9815609,-0.9137987,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.4827516e-05,0.08014387,0.9893756,-0.9435454,1000.0,0.0,1000,1000,1000.0,180,180000,230,23.966931405477226,24.833060912787914,20.9308428959921,69.73083521425724,1246.959725691937,17
0.006354332,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-8.433762e-05,0.078913234,0.99167,-0.93656176,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.7456673e-06,0.07322419,0.9886463,-0.9305981,1000.0,0.0,1000,1000,1000.0,190,190000,240,23.086740004830062,24.906330788508058,19.442867982201278,67.4359387755394,1313.9845716739073,18
0.0062050903,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00017305276,0.07010054,0.9912028,-0.9251099,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.424168e-05,0.07034609,0.9854774,-0.9028208,1000.0,0.0,1000,1000,1000.0,200,200000,250,23.1318021947518,24.495288527570665,19.638152656145394,67.26524337846786,1381.1879894379526,19
0.027953885,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,3.5139445e-05,0.06839473,0.9910419,-0.92618,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.1702202e-05,0.07569089,0.9931368,-0.92938215,1000.0,0.0,1000,1000,1000.0,210,210000,260,23.38930845912546,24.437617673538625,20.88918834552169,68.71611447818577,1452.9273596238345,20
0.013270806,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00015786245,0.07025906,0.9930073,-0.92393076,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.4435605e-05,0.07303607,0.994615,-0.9315612,1000.0,0.0,1000,1000,1000.0,220,220000,270,25.97314413730055,27.46817837934941,23.943846973590553,77.38516949024051,1530.1187423197553,21
0.0067376695,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-1.7931648e-05,0.065693475,0.9945706,-0.9293889,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-8.36908e-05,0.07250867,0.9943673,-0.9279184,1000.0,0.0,1000,1000,1000.0,230,230000,280,23.050470921210945,27.276826933957636,19.747953495010734,70.07525135017931,1597.1596712134778,22
0.013052566,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.514507e-06,0.070466794,0.9946429,-0.92317474,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.722056e-05,0.07053595,0.9923965,-0.9134522,1000.0,0.0,1000,1000,1000.0,240,240000,290,22.99601912125945,24.250379378907382,19.32826353330165,66.57466203346848,1663.6157803405076,23
