Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Total Rew Mean,Total Rew Std,Total Rew Max,Total Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.67830324,0.9003906,0.67210895,4.0,-1.176353,0.41379154,-0.40870643,-1.8352594,-1.176353,0.41379154,-0.40870643,-1.8352594,2.0,1.019607,1.0208951,0.24653915,-0.65426075,0.0009902623,0.00068188674,0.0027195727,-0.00034091552,0.0018443535,0.0010582925,0.0030016568,-0.00046375836,-0.0036742806,0.000834385,-0.0015228911,-0.0049714195,-0.6640985,0.21504113,-0.2677672,-0.91819316,0.000724924,0.00020352092,0.001423129,0.00025754384,-0.0009332162,0.00014657057,-0.00038349285,-0.0013684275,1.0,0.0,1.0,1.0,25.990909090909092,5.6073857097785815,67.0,19.0,-0.00032564,0.00030638315,0.00046867263,-0.0011559313,25.990909090909092,5.6073857097785815,67,19,10,0.9956948113531736,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00030438995,0.6082312,0.99835604,-0.9986135,1000.0,0.0,1000,1000,25.990909090909092,6,10000,10,25.651242112042382,0,41.391244831029326,67.04248694307171,129.5870844492456,0
0.3595505,0.9453125,0.008477425,4.0,-1.4746883,0.20463455,-0.3612947,-2.0730627,-1.4746883,0.20463455,-0.3612947,-2.0730627,2.0,0.008793898,0.009767724,0.009454602,4.4449596,-5.066153,2.1013515,-1.019977,-8.118939,-5.063463,2.0999072,-1.0160302,-8.117675,-4.3715167,2.1045117,-0.3977602,-7.4094224,-0.6805024,0.12813243,-0.5099118,-1.5680399,-0.0010930109,0.0020424102,0.0031042278,-0.0036525752,-0.1299189,0.0062904856,-0.11545115,-0.15334387,1.0,0.0,1.0,1.0,19.28709055876686,2.667590220638854,30.0,15.0,-0.012308974,0.0073808804,0.0026215063,-0.030147761,19.28709055876686,2.667590220638854,30,15,10,0.9855388439475633,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.030186322,0.58554405,0.9991868,-0.99747974,1000.0,0.0,1000,1000,19.28709055876686,16,20000,20,42.974341745255515,62.56728914997075,41.03034355933778,146.57197445456404,279.47567461873405,1
0.26964462,0.9921875,0.0037311288,4.0,-1.4917274,0.21422304,-0.2864548,-2.6037085,-1.4917274,0.21422304,-0.2864548,-2.6037085,2.0,0.021242889,0.027401611,0.07396045,13.856279,-14.28754,3.5386631,-7.496465,-22.601673,-14.254391,3.5288703,-7.481017,-22.630903,-13.854769,3.5859108,-6.970797,-22.727474,-0.67369854,0.2780328,0.032997966,-3.618093,-0.06339406,0.1536389,0.2946638,-0.49458793,-0.16974962,0.016269606,-0.14063586,-0.21209791,1.0,0.0,1.0,1.0,16.114331723027377,1.1134389487243217,19.0,14.0,0.007957267,0.048656397,0.07507773,-0.12770289,16.114331723027377,1.1134389487243217,19,14,10,1.432296937999695,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.060292944,0.57792836,0.99611634,-0.9969521,1000.0,0.0,1000,1000,16.114331723027377,26,30000,30,42.36069325893186,65.88074307504576,42.05946018116083,150.30089651513845,424.53550660109613,2
0.26468518,0.9941406,0.0021608165,4.0,-1.4514046,0.20607205,-0.2937924,-2.004414,-1.4514046,0.20607205,-0.2937924,-2.004414,2.0,0.06772407,0.06044861,0.1695714,21.435253,-21.701069,4.3871393,-16.406801,-35.47536,-21.719168,4.4065576,-16.467913,-35.55209,-21.535023,4.3175206,-16.15468,-34.412598,-0.63596964,0.30380884,0.2770369,-2.1117396,-0.08747376,0.21635012,0.43222114,-0.61717165,-0.19400406,0.01747162,-0.1646415,-0.2756151,1.0,0.0,1.0,1.0,12.394052044609666,0.6401396318153773,14.0,11.0,-0.010128826,0.092642285,0.08490523,-0.27504683,12.394052044609666,0.6401396318153773,14,11,10,2.451127487189043,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.045710776,0.57721496,0.99255925,-0.9989025,1000.0,0.0,1000,1000,12.394052044609666,36,40000,40,40.96248948283028,60.6414322280325,40.87687944481149,142.48080115567427,568.0552770616487,3
0.2656567,0.9980469,0.0012588776,4.0,-1.4618828,0.20981273,-0.26992297,-2.759219,-1.4618828,0.20981273,-0.26992297,-2.759219,2.0,0.098421015,0.09567398,0.03060659,28.41193,-29.082756,3.0885105,-25.247786,-49.072395,-29.09591,3.084847,-25.301472,-49.013046,-28.294937,3.0068228,-25.344841,-47.142776,-0.6386187,0.24652594,0.28575993,-1.4117211,-0.052253243,0.2204096,0.57726556,-0.80569005,-0.20338237,0.02383822,-0.1832493,-0.37010118,1.0,0.0,1.0,1.0,16.170573969280518,1.0687782266315846,19.0,14.0,0.021090476,0.06654296,0.102970384,-0.19779837,16.170573969280518,1.0687782266315846,19,14,10,2.1177143269742995,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.02319331,0.57598984,0.9985289,-0.99717504,1000.0,0.0,1000,1000,16.170573969280518,46,50000,50,42.22891200578306,61.68906281306408,40.85914660722483,144.77712142607197,715.4608268315205,4
0.27055687,0.9941406,0.0014118421,4.0,-1.4885287,0.28833687,-0.36694527,-3.5741394,-1.4885287,0.28833687,-0.36694527,-3.5741394,2.0,0.64512324,0.629234,0.14983186,36.878128,-37.150547,2.3717778,-29.692827,-58.521137,-37.16015,2.3642747,-29.68058,-58.34223,-37.002136,2.3452163,-30.307894,-59.483513,-0.6606123,0.31488532,0.22564727,-2.306213,-0.034327947,0.24215554,0.7934119,-0.62162054,-0.22674018,0.03962774,-0.1806831,-0.4525804,1.0,0.0,1.0,1.0,33.832770270270274,9.257980875610524,90.0,23.0,0.026479768,0.042322516,0.12692943,-0.13812459,33.832770270270274,9.257980875610524,90,23,10,0.8749964208080787,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.013795568,0.5752595,0.99669206,-0.9941624,1000.0,0.0,1000,1000,33.832770270270274,56,60000,60,42.68699274782557,64.31800979201216,41.00768420903478,148.0126867488725,864.2796197185526,5
0.27170795,0.99609375,0.0014180065,4.0,-1.4227355,0.27661318,-0.30704278,-3.1744943,-1.4227355,0.27661318,-0.30704278,-3.1744943,2.0,0.09020036,0.099820234,0.141915,46.15946,-47.284363,2.5576723,-36.305054,-56.60045,-47.288174,2.5390375,-36.564663,-56.43615,-46.174316,2.37151,-36.082973,-53.090515,-0.6323489,0.29023263,0.16545188,-2.1568694,0.06071095,0.23293507,0.6390111,-0.66882324,-0.21005757,0.04585295,-0.1645253,-0.3524985,1.0,0.0,1.0,1.0,37.71563088512241,9.156523434168525,79.0,26.0,-0.026213342,0.050606113,0.14402863,-0.14854906,37.71563088512241,9.156523434168525,79,26,10,0.5958994372450209,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0042190207,0.5586819,0.9919904,-0.9970778,1000.0,0.0,1000,1000,37.71563088512241,66,70000,70,40.899323428049684,65.12556662701536,40.17427872004919,146.19916877511423,1008.7178037185222,6
0.27739042,0.9902344,0.0015221979,4.0,-1.4364144,0.24439369,-0.3233758,-3.2520857,-1.4364144,0.24439369,-0.3233758,-3.2520857,2.0,0.17769748,0.16914484,0.5381283,55.413795,-55.537415,3.066194,-41.79382,-67.36903,-55.58368,3.050305,-41.665794,-67.45218,-55.935417,3.1410599,-42.716824,-69.11553,-0.5824648,0.3232252,0.75562596,-1.8150854,0.049610693,0.30547827,0.96742064,-0.8878771,-0.26332685,0.06451728,-0.17921661,-0.4482615,1.0,0.0,1.0,1.0,43.97582417582417,8.874551103451214,100.0,32.0,-0.010522552,0.061610408,0.16979699,-0.16307735,43.97582417582417,8.874551103451214,100,32,10,0.7860154704096451,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0054148836,0.56437254,0.99720544,-0.99684453,1000.0,0.0,1000,1000,43.97582417582417,76,80000,80,41.69340613507666,63.36564353003632,40.44587048899848,145.50492015411146,1154.8100916997064,7
0.28721943,0.984375,0.0016678039,4.0,-1.4438219,0.28653932,-0.32521057,-3.6455534,-1.4438219,0.28653932,-0.32521057,-3.6455534,2.0,1.1175307,1.1901686,0.60115075,64.84184,-63.547646,4.8108788,-46.004753,-105.68768,-63.488693,4.7914376,-46.102165,-105.89686,-63.97023,4.932448,-47.20486,-106.96155,-0.57904476,0.38915345,0.90982115,-3.0033245,0.004821267,0.31585133,0.9944646,-1.2548317,-0.2782343,0.071843125,-0.1758161,-0.6433433,1.0,0.0,1.0,1.0,40.285714285714285,5.482995218147699,58.0,32.0,-0.05663015,0.057310782,0.09871764,-0.18919887,40.285714285714285,5.482995218147699,58,32,10,0.8209028218625833,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0034457091,0.5690099,0.99818265,-0.9971351,1000.0,0.0,1000,1000,40.285714285714285,86,90000,90,41.780545560061,63.95417477097362,40.05057222396135,145.78529255499598,1301.1804733406752,8
0.2823012,0.98828125,0.001958677,4.0,-1.4346005,0.2632962,-0.3461939,-3.5087988,-1.4346005,0.2632962,-0.3461939,-3.5087988,2.0,0.17356431,0.22396518,0.09918561,70.393036,-70.38964,4.7744365,-51.61004,-90.8933,-70.37588,4.706181,-51.870758,-89.983574,-70.04224,4.6182704,-52.39587,-85.63735,-0.58327305,0.34381816,0.8761311,-1.893883,-0.0077378685,0.30077994,0.93457645,-0.9414022,-0.2693736,0.09802567,-0.16650757,-0.6989969,1.0,0.0,1.0,1.0,45.43764172335601,3.1394408370913807,51.0,40.0,-0.07082826,0.06502143,0.13702002,-0.2127744,45.43764172335601,3.1394408370913807,51,40,10,1.1519405907197082,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.011617823,0.5615534,0.9931477,-0.9964601,1000.0,0.0,1000,1000,45.43764172335601,96,100000,100,42.221296698902734,64.54349035106134,40.03165393206291,146.79644098202698,1449.375419832766,9
