Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.7098492,0.48046875,0.7770435,4.0,-3.7327182,1.3825027,-0.45540485,-7.211437,2.0,0.9598845,0.9584853,-5.083263,-0.02314818,0.0058517493,0.0010865004,0.010408254,0.0033425323,0.0047945855,0.0018636571,0.0102758845,-0.00087373506,0.19994000899929001,0.0,0.19994000899929001,0.19994000899929001,-0.15840879,0.3726951,0.99090433,-0.91637504,0.00090243015,0.0016830406,0.004119125,-0.0039317994,-0.00048084185,0.0010488476,0.004362624,-0.0037496828,1.9122978065322802,0.3708786799411763,2.3582065748033547,1.0005213335346241,182.58801580370834,4.158459962704256,194.21336364574483,171.25504614048205,0.09122711,0.22341943,0.6506634,-0.68265563,95.48095238095237,1.9789653495893462,101,90,10,0.8742339163583385,0.846288013393759,4.754694302818758,-2.0901565227156724,874.2339163583383,513.4882974391932,1394.6842469933852,-529.3069869104573,0.04521689,0.6196182,0.999368,-0.9991935,1000.0,0.0,1000,1000,182.58801580370834,6,10000,10,101.63589352881536,0,15.74794795177877,117.38384148059413,138.66073897201568,0
0.07289621,0.9863281,0.0016606688,4.0,-3.3853288,1.362033,-0.3907079,-7.965286,2.0,3.9191017,3.6122713,-0.18561709,129.57901,-129.7489,51.022327,-14.199736,-237.25798,-129.98157,51.16674,-14.597188,-238.09294,0.16321346565005845,0.0,0.16321346565005845,0.16321346565005845,2.8975976,2.1013675,9.193083,-2.2094626,0.26547408,1.0522088,2.9099123,-2.7111132,-0.79551905,0.29451117,-0.15876292,-1.7028404,2.067815242503433,0.5413819940281681,3.1283673554546962,0.9895288031454873,170.45435029870887,6.651589820371562,185.8443672204507,158.0535231610174,0.2900723,0.4355628,0.9408961,-0.73515666,82.4320987654321,1.945375046758315,87,79,10,1.3188128742009202,0.695286177419085,4.239013027790169,0.0633969377444105,1318.8128742009199,152.14510801876372,1689.3268181688034,1154.015785130473,0.116498455,0.48629385,0.99925506,-0.99863774,1000.0,0.0,1000,1000,170.45435029870887,16,20000,20,173.56020969012752,21.286739876959473,17.159962626639754,212.00691219372675,350.2160949120298,1
0.08001268,0.9921875,0.0015618501,4.0,-2.736655,0.89339703,-0.56354576,-5.6811223,2.0,4.995122,5.0198083,-0.23198384,252.942,-254.53223,76.092674,-52.31206,-507.4518,-254.60663,76.10625,-52.412,-508.2972,0.21065457769192666,0.0,0.21065457769192666,0.21065457769192666,2.8510337,1.9313104,10.284088,-3.9474068,0.34025693,0.9642367,2.813238,-2.2178612,-0.86510783,0.31170973,-0.18071193,-1.7748396,1.591633457581623,0.2547062973170203,1.98556428367821,1.004216729232581,93.26413593548456,1.2339005109347099,96.00154806724984,89.52317986774102,0.13636942,0.35387844,0.8388169,-0.92339677,58.59649122807018,1.0461790537456541,61,56,10,1.3597085908192692,0.6430331673762231,4.286301659898907,-0.1780662042078627,1359.708590819269,200.9392230002547,1655.4937518896247,1167.0556964870027,0.12706256,0.48426378,0.99545527,-0.9982749,1000.0,0.0,1000,1000,93.26413593548456,26,30000,30,169.5339201358147,20.835059369914234,17.824103478342295,208.19308298407122,558.3509940984659,2
0.11353268,0.98828125,0.0018268842,4.0,-2.7036939,0.8863301,-0.47807592,-6.037386,2.0,1.5405611,1.8650591,-0.1993241,330.97812,-331.70663,64.35987,-148.15927,-508.86713,-330.67938,64.55644,-144.97551,-506.19574,0.19640176114590935,0.0,0.19640176114590935,0.19640176114590935,2.8775196,1.5294874,7.044415,-2.1706448,-0.08487868,0.97109896,2.201149,-2.2864778,-0.942094,0.3127011,-0.3202089,-2.021183,1.8248312749060525,0.35471809498705015,2.2519261931758834,1.0052930273965799,110.05601390796353,2.056835486042894,115.5104027350241,105.21973763332143,0.17921677,0.25285155,0.93431395,-0.5037471,60.31024096385542,1.0852865657918316,63,58,10,1.4726352797586528,0.7998513959897776,5.197967456230804,0.1170472730356474,1472.6352797586528,189.5380531598601,1692.7415888589176,1074.4863327204162,0.10841159,0.5022689,0.999811,-0.9993574,1000.0,0.0,1000,1000,110.05601390796353,36,40000,40,173.07287994027138,20.777858017012477,19.75833848817274,213.6090764454566,772.3544693421572,3
0.13729638,0.9824219,0.0022819247,4.0,-2.6091251,0.87472606,-0.57344806,-4.386029,2.0,2.1229348,2.2898626,-0.12326679,372.4914,-372.982,89.611336,-209.41347,-573.65784,-372.55023,89.72952,-208.71692,-573.39746,0.17670979613360424,0.0,0.17670979613360424,0.17670979613360424,2.9288764,1.8605012,9.386327,-2.2333755,0.12355132,0.9156893,2.826253,-3.1118755,-1.0658219,0.3796407,-0.2734118,-2.0891585,1.5500166494377583,0.2252370356873915,1.9807991225772654,1.001307244037495,109.30892061598388,2.4361879058971185,116.16142334388539,103.91289280898971,0.17184342,0.30198875,0.9368489,-0.5856075,70.52112676056338,1.6496619792865417,75,67,10,1.5520301367756635,0.9014373777385452,5.186931545752512,-0.5643784759857121,1552.030136775663,109.29442218153078,1727.1066305990596,1355.6361129500788,0.02496722,0.45285416,0.99983805,-0.9996234,1000.0,0.0,1000,1000,109.30892061598388,46,50000,50,170.1583830001764,21.17340995883569,19.302263154182583,210.63405611319467,983.6481037880294,4
0.11726361,0.98828125,0.00213289,4.0,-2.581235,0.81424934,-0.32852912,-5.0162034,2.0,5.177165,5.1028867,0.17942502,453.0847,-453.7672,105.38775,-251.02559,-780.68,-453.5232,105.38012,-248.76431,-779.90607,0.1512508815721301,0.0,0.1512508815721301,0.1512508815721301,3.0949876,1.5471432,7.9063234,-1.8311646,0.014840007,0.9226496,3.2191918,-2.6286051,-1.0999155,0.39709112,-0.15812616,-2.5078144,2.590702478758819,0.8691726632256218,4.402613935189168,1.0078392238045666,604.778406553047,14.249404118372341,631.7075144817937,573.0882042056529,0.10976749,0.4362277,0.9984516,-0.97790486,233.4418604651163,5.11405871482422,244,223,10,1.5596997754891393,0.8540712399658539,5.303074653261961,0.003830847233686612,1559.6997754891393,101.20333481598571,1692.2899776754884,1402.776752115814,0.008973374,0.46941593,0.9997257,-0.9998829,1000.0,0.0,1000,1000,604.778406553047,56,60000,60,173.91775217372924,21.833670310210437,20.101999181788415,215.8534216657281,1200.5407766937278,5
0.12990773,0.9824219,0.0025552171,4.0,-2.4215603,0.82834643,-0.25105536,-4.167535,2.0,3.5737114,4.772686,0.065711215,468.92734,-472.78876,99.42279,-270.8208,-785.0289,-473.4845,99.58411,-271.55414,-785.2138,0.13616299881652658,0.0,0.13616299881652658,0.13616299881652658,3.0329533,1.8500522,9.997841,-1.3752065,-0.043170843,0.8747681,3.8622985,-3.2418716,-1.154098,0.36685705,-0.28893828,-2.2592854,2.3348071971194515,0.2953321740421758,3.4047835504301607,1.0096582049532707,2334.8071971194513,4.408743633333969,2343.2475325345804,2328.5331856166345,0.23264638,0.49899396,0.99488455,-0.9633658,1000.0,0.0,1000,1000,10,1.7357389549861466,0.9386056024986962,4.910877575668454,0.1054606170774037,1735.7389549861466,182.7329883550046,2058.5514743339563,1437.642634506052,0.03425616,0.4716144,0.999903,-0.9993975,1000.0,0.0,1000,1000,2334.8071971194513,66,70000,70,175.20012200251222,22.867692415136844,19.04546832619235,217.1132827438414,1418.0372325968929,6
0.17453703,0.9589844,0.0027140316,4.0,-2.351522,0.8377445,-0.24687219,-3.5972602,2.0,1.8745773,1.5444279,0.24054262,469.67404,-467.09418,86.00542,-262.72052,-562.47266,-467.44458,86.023224,-262.0617,-563.8178,0.13292679647131955,0.0,0.13292679647131955,0.13292679647131955,3.1191895,1.71708,9.297349,-0.90946794,0.08786843,0.8630053,3.0845973,-2.865089,-1.1660408,0.3373775,-0.31645378,-2.4005356,2.4340051912786946,0.6547264887511179,4.104788387785292,1.0052052441454575,393.5825652445895,1.4618140129878976,397.6506660244864,390.8288156377948,0.15040609,0.41447946,0.9961255,-0.99731773,161.7016129032258,0.4748486806456623,163,161,10,1.8095555883747474,0.886258174575674,5.946204271062205,0.335431247332198,1809.555588374747,369.99240830837135,2374.035338165012,1337.5232239156746,0.08512939,0.50512636,0.99997663,-0.999628,1000.0,0.0,1000,1000,393.5825652445895,76,80000,80,174.1448600650765,23.250091535039246,19.572196364868432,216.96714796498418,1630.8975481898524,7
0.17189732,0.9765625,0.0032683942,4.0,-2.0519252,0.8750407,-0.29982904,-3.7985756,2.0,1.3918087,1.7709697,-0.523378,452.25333,-450.88303,110.120964,-273.14618,-590.1141,-450.35315,110.163635,-271.1483,-589.7903,0.13766394757812483,0.0,0.13766394757812483,0.13766394757812483,2.7359853,1.8788085,8.141331,-5.3888073,0.07019717,0.8369008,2.3516402,-3.6000216,-1.1472074,0.3843168,0.3221747,-2.5609055,2.253050913558218,0.47849047720611987,3.3336761658749494,1.007057520485947,324.21240556108967,1.2492324240382524,326.5274886841095,321.8731386976189,0.18182515,0.41426697,0.99132514,-0.97268736,143.89928057553956,0.6710344642509939,145,143,10,2.219595483981118,0.9262211942669548,5.773226674257069,-0.08666983358489608,2219.595483981118,346.4143914235747,2689.3405424029324,1572.3812878708889,0.048354078,0.4667117,0.9991622,-0.9996392,1000.0,0.0,1000,1000,324.21240556108967,86,90000,90,175.89378847554326,19.150826243683696,20.040564936585724,215.08517965581268,1848.9941089767963,8
0.22653276,0.9609375,0.004165626,4.0,-2.0360086,0.94640887,-0.3785375,-4.349368,2.0,1.854055,2.4705868,0.11062455,415.38138,-416.63293,125.41841,-262.1825,-597.5271,-416.86313,125.159546,-261.868,-598.4042,0.1456666650977975,0.0,0.1456666650977975,0.1456666650977975,3.057423,1.6147419,7.8670382,-2.2680387,0.03687923,0.82260394,2.3950753,-2.9020689,-1.2225469,0.35391632,-0.21786878,-2.352747,2.1407184361048808,0.32457403435935345,2.5523141652647436,1.0058284834700342,454.28298601973046,33.755233379751196,600.7081369131907,441.93154042755185,0.13658646,0.4496313,0.9864741,-0.9445031,212.21052631578948,14.84509115168846,276,207,10,1.9654903870561358,1.0679665232866635,4.90127871028263,-0.19353888284810805,1965.4903870561361,195.36274097383475,2360.69826171539,1663.9696815442278,0.043998323,0.49127793,0.9999836,-0.99998814,1000.0,0.0,1000,1000,454.28298601973046,96,100000,100,174.5272859861143,22.16055237222463,19.629453274887055,216.31729163322598,2065.0933805806562,9
