Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.72197145,0.45703125,0.8848696,16.0,-4.2331953,0.84361076,-0.508144,-6.4131064,2.0,1.8738174,1.9064403,-22.037872,0.721491,0.029860184,0.011329088,0.05471619,-0.0015535578,0.047413673,0.024825102,0.10025626,-0.006256545,0.1999400089991439,0.0,0.1999400089991439,0.1999400089991439,3.3071008,0.9230772,5.8249273,0.66595125,0.0022930466,0.015747312,0.05257725,-0.06569192,0.006576496,0.014866271,0.054890983,-0.035710726,4.867580349199799,0.31774155412372174,4.989699738317568,3.5315894089578173,77.8812855871968,0.17421271840343414,78.31965634621636,77.46311896458289,-0.00030042196,0.3525842,0.75394434,-0.74605215,16.0,0.0,16,16,10,4.680049020534518,0.38341895724422176,5.58464877608059,-5.065806076950874,4680.0490205345195,55.44442483394342,4790.254501908386,4619.033000749336,0.033719886,0.6264225,0.9996694,-0.9998202,1000.0,0.0,1000,1000,77.8812855871968,6,10000,10,8.214419132564217,0,13.935379876289517,22.149799008853734,38.56129304273054,0
0.020654634,0.9980469,0.0038205902,16.0,-6.0586104,0.87033695,-0.804003,-7.5399976,2.0,0.77730834,0.78849256,-19.711098,22.939552,-22.276161,2.4587057,-11.9344225,-27.639969,-22.426456,2.4477253,-13.26626,-27.784254,0.1700201050863877,0.0,0.1700201050863877,0.1700201050863877,5.87343,2.3860235,11.932009,-2.4639091,0.038349956,0.50188,1.1675051,-1.1320581,-0.19578587,0.054332107,-0.053424343,-0.45039326,5.38717869195305,0.7214529233363692,6.471675818295544,0.4594626484860367,262.6741143229662,8.79961802110044,286.493788944241,238.13999496386808,0.36485073,0.3977606,0.9569342,-0.83670187,48.75912408759124,1.6143767749393523,53,44,10,4.739390338111628,0.33859685147992125,6.75273350549652,-2.6347334298114893,4739.390338111627,74.27650042815185,4869.572830413353,4619.251846797616,0.020563528,0.6145498,0.9998973,-0.9994204,1000.0,0.0,1000,1000,262.6741143229662,16,20000,20,13.29033095529303,16.55801959009841,13.360458433628082,43.20880897901952,85.63761700643227,1
0.00405153,1.0,0.0004493925,16.0,-6.9056087,0.82271564,-2.0309143,-7.9136047,2.0,0.5032767,0.4798856,-22.508461,68.784676,-68.40871,11.409888,-20.439396,-87.76412,-68.470795,11.357247,-20.96679,-87.685814,0.1256362378470501,0.0,0.1256362378470501,0.1256362378470501,6.14769,2.576968,16.429966,0.009788513,0.09211408,0.49722767,1.8937423,-1.2012955,-0.19096906,0.07482834,-0.0443653,-0.5849255,4.983907572987547,0.5109806545793566,6.054004956967095,0.013462830212345622,345.4589498342095,21.493492161244752,403.3311106048631,298.38964915635074,0.34334835,0.5354059,0.99410164,-0.9603124,69.31487889273356,4.32916640159949,81,60,10,4.866410887063947,0.3653180039824331,6.926623224580044,-3.2594810601270083,4866.410887063951,38.60074910694622,4921.795436962693,4820.330498677472,0.113755435,0.61745375,0.9994608,-0.9994263,1000.0,0.0,1000,1000,345.4589498342095,26,30000,30,12.542946822941303,20.34221315290779,14.716661949642003,47.601821925491095,133.83612943906337,2
0.0029406038,1.0,0.00019774814,16.0,-7.539659,0.8967945,-2.9616847,-8.550461,2.0,2.848239,1.7000368,-18.126577,113.37278,-117.08333,18.433348,-23.98656,-145.33769,-116.4875,18.26124,-23.214844,-144.92172,0.09580692591427806,0.0,0.09580692591427806,0.09580692591427806,9.270724,3.7773247,26.072495,0.44465542,0.18066671,0.6958752,2.2653322,-1.9276778,-0.26522478,0.10831565,-0.03598161,-0.8020952,5.390917240005803,0.8083525013458376,6.456218607893989,-1.5279827244994166,275.9570551373814,8.44669935800676,302.12212544654756,256.1507630071227,0.19909936,0.66820216,0.9804878,-0.97721404,51.18925831202046,1.5355921281102891,56,48,10,4.83587681276376,0.335948791947428,6.706545810077934,-4.58656666098298,4835.876812763758,36.592485608319436,4905.007839064506,4778.284568277545,0.12432972,0.63890123,0.99930483,-0.999458,1000.0,0.0,1000,1000,275.9570551373814,36,40000,40,11.339702468831092,20.928717155009508,15.763550378847867,48.03197000268847,182.08632878540084,3
0.0016090319,1.0,0.000107865024,16.0,-8.2124605,0.8264779,-3.690258,-8.992204,2.0,2.9519138,2.5514188,-15.963869,177.2871,-172.17416,20.329718,-60.238213,-195.47137,-172.37042,20.341574,-59.48421,-195.38678,0.07662864977131657,0.0,0.07662864977131657,0.07662864977131657,10.784878,3.8612237,27.831068,2.4268498,0.18436609,0.7736277,2.2430835,-2.0196264,-0.28693384,0.1148955,-0.08380248,-0.74722135,5.406959834762486,0.7056435995587937,6.643260904621396,1.0230258568834696,315.77906533516654,13.25818999491629,352.2326722570142,284.4749459225434,0.08707346,0.64548117,0.98661727,-0.974716,58.40233236151604,2.4687422784974498,65,53,10,4.883989548748271,0.35993060096847673,7.566563167190504,-4.394809328672407,4883.989548748272,28.360376646160706,4916.522347635303,4822.514352171363,0.12605935,0.66062677,0.99948144,-0.99874926,1000.0,0.0,1000,1000,315.77906533516654,46,50000,50,13.209595084190369,21.148335597012192,13.961375748738647,48.31930642994121,229.46624851692468,4
0.0015231641,1.0,0.00011912058,16.0,-8.599918,0.8563251,-2.5938241,-9.518335,2.0,1.3019669,3.0092626,-15.395612,237.2825,-238.61398,34.134678,-71.473434,-263.92468,-239.67883,34.433384,-73.44234,-265.98022,0.061923189878883726,0.0,0.061923189878883726,0.061923189878883726,11.465205,4.5776234,35.456066,1.0134926,0.2250457,0.80296344,2.4149306,-2.3990889,-0.28984758,0.1363965,-0.08249206,-0.754599,5.253470895508394,0.8255141446570273,6.489807859961583,-1.5654657016967297,299.26874544526794,15.229573972581463,338.7244792127056,259.5226062099754,0.18336251,0.6269936,0.9976335,-0.98199475,56.96590909090909,2.979852282932691,65,50,10,4.839566470977836,0.352905698107961,7.154016921003381,-0.4048700158694132,4839.566470977835,39.529340222033824,4893.773775634751,4753.089028630786,0.16051616,0.65201324,0.99942154,-0.99926114,1000.0,0.0,1000,1000,299.26874544526794,56,60000,60,11.42910959199071,20.21495764888823,15.049572019837797,46.693639260716736,275.337717758026,5
0.0009819169,1.0,6.525827e-05,16.0,-8.692389,0.9832563,-3.045497,-9.938043,2.0,2.7812238,2.7292192,-7.95829,293.16254,-295.97632,39.97299,-107.65733,-338.77542,-295.9622,40.105453,-107.13519,-337.58594,0.05071373872615801,0.0,0.05071373872615801,0.05071373872615801,14.330673,5.568602,45.425938,3.3670092,0.20510098,0.9390427,2.7938244,-2.3326776,-0.3616839,0.1378785,-0.105536155,-1.1685609,4.879788787536066,0.6075880907806585,5.776493452172831,-2.2587675827795737,225.9015386747355,8.16155695252474,237.6179142873405,201.6245579804255,0.23987214,0.7411486,0.99735737,-0.99123037,46.2933025404157,1.4058197885875374,49,42,10,4.824606114830977,0.3997400925604382,7.1244936661123655,-3.0889527639929746,4824.606114830974,16.667383613669084,4848.991462091507,4792.795530429138,0.06871279,0.6852389,0.9996198,-0.99932665,1000.0,0.0,1000,1000,225.9015386747355,66,70000,70,11.793252166826278,19.3848833614029,14.893773697782308,46.071909226011485,321.2564774691127,6
0.00085789734,1.0,6.6550776e-05,16.0,-9.348266,0.98687553,-3.515496,-10.000046,2.0,4.8267617,2.31538,0.19348717,342.52975,-338.32877,45.645336,-102.83937,-392.2951,-339.83618,45.812054,-105.07092,-394.92032,0.04715187969369856,0.0,0.04715187969369856,0.04715187969369856,17.063349,5.9266405,39.27036,3.4594707,-0.05556766,1.0926883,2.7290392,-2.8400733,-0.4020399,0.15405177,-0.106747456,-1.3579553,5.245474362462597,0.7141356961366667,6.68807544797126,-1.7283808449627793,265.0686552203006,26.07500607393375,321.96163838302215,204.3843638599458,0.190891,0.651444,0.99967015,-0.99399453,50.532828282828284,4.333500355849712,60,41,10,4.717840608527122,0.37292077484294844,6.996650432663376,-4.235695923229832,4717.840608527122,76.52238841950651,4825.5464233766725,4578.904591806611,-0.07664211,0.7300929,0.99979717,-0.9999912,1000.0,0.0,1000,1000,265.0686552203006,76,80000,80,11.70864482736215,19.245481895282865,16.866517605260015,47.82064432790503,368.9606075002812,7
0.00042803067,1.0,0.031277444,16.0,-9.370765,1.0441128,-1.9058025,-10.000046,2.0,8.698429,15.369266,-3.4007418,420.6886,-424.1244,58.575024,-127.08181,-543.3599,-426.1325,58.79333,-129.62856,-554.5269,0.046342105811000185,0.0,0.046342105811000185,0.046342105811000185,15.892837,6.1795073,46.590096,3.6547146,0.040141203,1.0225961,3.640079,-3.2768576,-0.4229628,0.14989184,-0.09843916,-1.3588353,5.355140638648361,0.5947962470561474,6.611121267271573,1.6357621775340405,346.3566767899989,15.115210797009608,388.0650250628875,317.84703369639925,0.074648686,0.6125124,0.992734,-0.9915621,64.6774193548387,3.2437244301851886,74,59,10,4.837288974883588,0.36962883723812984,7.109955032996728,-0.2974908590001384,4837.2889748835905,43.288941072752785,4930.153691758061,4766.753582409258,-0.04105139,0.6622169,0.99984753,-0.99984044,1000.0,0.0,1000,1000,346.3566767899989,86,90000,90,12.162774305325001,19.121870832052082,14.519067586865276,45.80371272424236,415.88154240185395,8
0.0010243994,1.0,0.019579949,16.0,-9.436282,1.2348114,-2.6343937,-10.000046,2.0,8.89289,10.758984,-0.9062073,500.63504,-493.82672,62.327404,-111.272415,-603.3879,-493.2484,62.207085,-110.88649,-598.92926,0.047568622504550455,0.0,0.047568622504550455,0.047568622504550455,16.702454,5.7394495,41.3287,4.2971897,0.010894294,1.0625068,3.2805414,-3.036683,-0.42843318,0.1526666,-0.11657023,-1.3547455,4.291344410700143,0.8178972780170748,5.0318638977734205,-4.248799865227156,227.6916770483686,37.214584183085194,504.03221229856337,184.34460214614805,0.100213885,0.6044383,0.9964427,-0.99644935,53.05835543766578,8.381917536727318,113,43,10,4.881884977097952,0.34640270300701204,7.026879525263467,-3.628920269603535,4881.884977097955,25.064245716891506,4916.538319016972,4842.844751690861,0.050490968,0.6759028,0.999925,-0.9997984,1000.0,0.0,1000,1000,227.6916770483686,96,100000,100,11.531688569113612,20.240456224884838,15.516879723407328,47.28902451740578,462.0820863991976,9
