Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.69851846,0.703125,0.67767805,4.0,-1.1941183,0.3592536,-0.3266857,-1.8180212,2.0,0.97921586,0.98566246,0.25073758,-0.66362774,-0.005124042,0.0015704004,-0.002105141,-0.0080663515,-0.0005154272,0.0015217239,0.002647542,-0.0028282995,-0.0036963671,0.00078128633,-0.0017629375,-0.0050739357,-0.6799705,0.20254968,-0.26527405,-0.930676,0.0009268507,0.0004582165,0.001894908,9.591741e-05,-0.00039406813,0.00020254191,4.339224e-05,-0.0013959683,1.0,0.0,1.0,1.0,26.19764397905759,5.842518346327703,59.0,19.0,0.005717663,0.000122463,0.0061264304,0.0054200725,26.19764397905759,5.842518346327703,59,19,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.01055612,0.6066123,0.99898905,-0.9992008,1000.0,0.0,1000,1000,26.19764397905759,6,10000,10,22.08544615516439,0,38.61892850184813,60.70437465701252,108.78222324396484,0
0.3557483,0.9746094,0.008371823,4.0,-1.4910254,0.19599567,-0.91230434,-2.447991,2.0,0.013917031,0.013967418,0.009788436,4.059095,-4.685457,1.4344379,-1.8894628,-7.1729393,-4.682485,1.4333258,-1.8870435,-7.1745734,-4.085776,1.4620234,-1.3009162,-6.6135764,-0.67489594,0.09932161,-0.50133574,-1.3681538,0.0056420984,0.00070316193,0.0077160997,0.0035237917,-0.1398505,0.011423108,-0.11386069,-0.17808917,1.0,0.0,1.0,1.0,15.689411764705882,1.1885093840353231,19.0,14.0,-0.022786131,0.019083982,0.012608261,-0.0564536,15.689411764705882,1.1885093840353231,19,14,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.040504627,0.58668774,0.99835753,-0.9977679,1000.0,0.0,1000,1000,15.689411764705882,16,20000,20,36.42385668074712,48.09192223998252,41.44857293297537,125.96435185370501,234.11230677668937,1
0.26482815,0.99609375,0.0036141807,4.0,-1.4732018,0.22388934,-0.29238912,-2.6192517,2.0,0.008164066,0.008434716,0.013273424,13.295458,-14.012319,2.6648815,-10.200057,-20.560839,-14.024605,2.6622148,-10.199117,-20.471054,-13.267044,2.6241598,-9.5113,-19.176477,-0.6761294,0.1956116,-0.23352194,-2.1327043,-0.040705875,0.12415023,0.2723583,-0.29035032,-0.17902148,0.015562693,-0.15396218,-0.21849202,1.0,0.0,1.0,1.0,12.402975821450713,0.5667287473447757,14.0,11.0,-0.017170236,0.07841974,0.077737644,-0.20030731,12.402975821450713,0.5667287473447757,14,11,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.07205491,0.57849205,0.9958927,-0.99871564,1000.0,0.0,1000,1000,12.402975821450713,26,30000,30,36.434672818519175,47.4835207730066,42.043348693987355,125.96154228551313,359.4276450939942,2
0.26390463,0.9941406,0.001888941,4.0,-1.4606388,0.17317593,-0.39623067,-2.8115082,2.0,0.06355459,0.06427129,0.019106809,22.190859,-22.78834,3.1636117,-19.26181,-32.556892,-22.79202,3.1639597,-19.313602,-32.579945,-22.200726,3.0395358,-19.318949,-31.404388,-0.6232562,0.30582687,0.3214203,-1.933758,-0.122191854,0.2114293,0.6453296,-0.5938686,-0.19470838,0.023826072,-0.16849408,-0.29226843,1.0,0.0,1.0,1.0,19.246153846153845,1.3498520629002186,22.0,17.0,0.040155362,0.06382597,0.13876922,-0.17213869,19.246153846153845,1.3498520629002186,22,17,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0689939,0.5778907,0.9961928,-0.9965368,1000.0,0.0,1000,1000,19.246153846153845,36,40000,40,33.94893953029532,46.8248718730174,40.33734013908543,121.11115154239815,480.9622927424498,3
0.27210802,0.9921875,0.0013354407,4.0,-1.4668281,0.1634887,-0.34145868,-3.2253766,2.0,0.037922934,0.040945943,0.04711561,30.63193,-31.129755,2.075005,-26.163704,-52.31114,-31.116508,2.073772,-26.216005,-52.311165,-30.676044,2.0477529,-26.319366,-52.72805,-0.6497679,0.30075783,1.1271656,-3.0542774,-0.045532916,0.23309693,1.5934018,-0.59000593,-0.21331996,0.04507076,-0.17796576,-0.593836,1.0,0.0,1.0,1.0,33.44648829431438,8.916538654711628,98.0,24.0,0.0336815,0.045493376,0.14590447,-0.10222118,33.44648829431438,8.916538654711628,98,24,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.04275344,0.5734447,0.9983453,-0.994641,1000.0,0.0,1000,1000,33.44648829431438,46,50000,50,31.17330617411062,47.23912199703045,41.15628946875222,119.5687176398933,601.1286738011986,4
0.2624185,1.0,0.0011845122,4.0,-1.4391546,0.16503434,-0.31376562,-2.0090206,2.0,0.20691615,0.21329628,0.028517287,40.001114,-40.574883,2.0040026,-32.929043,-58.867992,-40.5882,2.007786,-32.930527,-58.76415,-39.997643,2.0138297,-32.812393,-60.5606,-0.6610893,0.3222516,0.6332112,-3.1138387,0.012239968,0.22757368,1.182361,-0.6422834,-0.24580157,0.062097155,-0.18788797,-0.6224987,1.0,0.0,1.0,1.0,25.383248730964468,2.8369969831311668,34.0,21.0,-0.042028278,0.052176394,0.13450977,-0.13611954,25.383248730964468,2.8369969831311668,34,21,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.010067904,0.5684617,0.9956129,-0.9956773,1000.0,0.0,1000,1000,25.383248730964468,56,60000,60,29.28826351603493,47.835856494959444,42.44470990693662,119.568829917931,720.4754716024036,5
0.27609873,0.9902344,0.0012991002,4.0,-1.445584,0.14829403,-0.33488294,-2.801197,2.0,0.16240893,0.1739625,0.028714545,48.514793,-49.004765,2.805341,-37.523136,-71.31155,-49.020027,2.8011858,-37.301456,-71.60221,-48.520668,2.7411752,-38.006256,-71.388214,-0.5940944,0.30016658,0.73721015,-1.6853979,0.008033295,0.2882569,0.9586767,-0.8800528,-0.25204897,0.058373246,-0.18059093,-0.54061407,1.0,0.0,1.0,1.0,33.32445923460899,7.634509884735139,72.0,24.0,-0.034711197,0.046525612,0.11475165,-0.13513142,33.32445923460899,7.634509884735139,72,24,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0028278274,0.5586134,0.9971371,-0.99232143,1000.0,0.0,1000,1000,33.32445923460899,66,70000,70,30.998398206778802,47.61725984397344,42.01107659784611,120.62673464859836,841.5878183230525,6
0.27498698,0.99609375,0.0013615538,4.0,-1.4434714,0.20054343,-0.3153805,-3.015392,2.0,1.3398157,1.3785316,0.024447404,56.43173,-57.310715,3.1925874,-45.09817,-93.40967,-57.317497,3.2074232,-45.05319,-93.76038,-56.688705,3.1891477,-45.10304,-92.85229,-0.6052604,0.3388545,1.038898,-2.0832763,0.0005040439,0.2891237,0.5618606,-1.0582541,-0.2630099,0.056765202,-0.17012909,-0.5091116,1.0,0.0,1.0,1.0,28.25141242937853,3.8812253779472514,43.0,22.0,0.03690556,0.03824056,0.1090603,-0.097560264,28.25141242937853,3.8812253779472514,43,22,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0009066986,0.55457616,0.99555725,-0.9894527,1000.0,0.0,1000,1000,28.25141242937853,76,80000,80,31.236649246071465,48.10593057295773,41.10453268419951,120.44711250322871,961.9794729374116,7
0.27645904,0.99609375,0.0011329725,4.0,-1.4318707,0.31615824,-0.32404494,-4.02408,2.0,0.39267325,0.41038036,0.6258029,64.59467,-63.994377,2.7110934,-49.864647,-85.692635,-64.00041,2.6892557,-49.775127,-85.13152,-64.49324,2.705416,-50.648327,-81.9875,-0.6026753,0.36309987,0.44585544,-2.5150447,-0.021673327,0.2875438,0.6894938,-0.9895536,-0.27558935,0.07047104,-0.18216051,-0.60365975,1.0,0.0,1.0,1.0,27.260217983651227,3.1335614852609677,37.0,22.0,0.03549283,0.035340734,0.07661515,-0.1167839,27.260217983651227,3.1335614852609677,37,22,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.004830808,0.5505715,0.99707747,-0.99262756,1000.0,0.0,1000,1000,27.260217983651227,86,90000,90,30.663686483050697,48.047002136008814,42.18275952502154,120.89344814408105,1082.7186241975287,8
0.28742927,0.984375,0.001356913,4.0,-1.430555,0.19751827,-0.33644226,-2.4922566,2.0,0.5657739,0.5542367,0.039621167,71.54458,-72.323685,4.692656,-55.97599,-112.67994,-72.301544,4.712557,-55.941917,-113.7592,-71.69635,4.712763,-55.825115,-113.26334,-0.5630497,0.3876919,1.504387,-2.7551851,-0.0071125384,0.3068543,0.59674436,-1.2822013,-0.3367809,0.08621594,-0.24446377,-0.9180218,1.0,0.0,1.0,1.0,37.54596622889306,8.875216227833098,114.0,27.0,0.035461888,0.03431297,0.09970689,-0.16583927,37.54596622889306,8.875216227833098,114,27,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0016420691,0.5485525,0.9880237,-0.99358404,1000.0,0.0,1000,1000,37.54596622889306,96,100000,100,32.51737765793223,47.8967118189903,41.65515584987588,122.06924532679841,1206.083878880483,9
