Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.68337375,0.7714844,0.74173725,4.0,-1.1411159,0.10881354,-0.507484,-1.403304,2.0,0.7999069,0.80965614,-2.6627808,-0.11438974,-0.0052365796,0.00085842604,-0.0038135494,-0.0075543365,0.0025815654,0.0011029942,0.005350471,0.0011841764,0.19994000899946263,0.0,0.19994000899946263,0.19994000899946263,-0.6544786,0.22643508,-0.26454663,-0.91902566,0.0003403594,0.00021392685,0.0010516413,-0.00019184712,-0.00032859622,0.0005217859,0.00079887954,-0.0017118216,1.0,0.0,1.0,1.0,11.430285714285715,0.49511606555165116,12.0,11.0,-0.095589325,0.010177687,-0.07704637,-0.11073299,11.430285714285715,0.49511606555165116,12,11,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.028275779,0.60306925,0.99806964,-0.9977011,1000.0,0.0,1000,1000,11.430285714285715,6,10000,10,21.485350353643298,0,24.58896156027913,46.07431191392243,76.01376975886524,0
0.37328205,0.99609375,0.008560985,4.0,-1.4648521,0.17007922,-0.30085415,-1.9195668,2.0,0.026780132,0.02629452,-2.9836943,5.132623,-5.296904,0.9579637,-2.9292436,-7.8067985,-5.288563,0.95992196,-2.8622704,-7.819922,0.16708373828915596,0.0,0.16708373828915596,0.16708373828915596,-0.667837,0.1642533,-0.23451567,-1.6175513,-0.09624983,0.046158772,-0.02549544,-0.18726332,-0.16680324,0.03081795,-0.123704106,-0.20526645,1.0,0.0,1.0,1.0,15.475638051044083,0.9739382735664641,18.0,14.0,0.010837189,0.06254917,0.08385142,-0.19736117,15.475638051044083,0.9739382735664641,18,14,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.103073426,0.55366415,0.991861,-0.9945874,1000.0,0.0,1000,1000,15.475638051044083,16,20000,20,35.991333761718124,29.95103734685108,24.729364937637,90.6717360462062,167.61837062286213,1
0.2812315,0.9863281,0.0022041828,4.0,-1.495399,0.17039736,-0.31792772,-2.033559,2.0,0.035191,0.038845964,-3.0598783,16.881939,-17.18201,1.217861,-13.347463,-22.587206,-17.15937,1.2046909,-13.566429,-22.405434,0.12501512906213758,0.0,0.12501512906213758,0.12501512906213758,-0.47177097,0.62351966,1.826335,-2.8964942,-0.1744107,0.47938854,1.5252184,-1.0260688,-0.3745475,0.0669176,-0.30335858,-0.7198665,1.0,0.0,1.0,1.0,28.669054441260744,3.615184384192131,41.0,23.0,0.048766762,0.10994222,0.36355263,-0.1529561,28.669054441260744,3.615184384192131,41,23,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.12374327,0.5319954,0.9925465,-0.99697053,1000.0,0.0,1000,1000,28.669054441260744,26,30000,30,35.7481534499675,30.91361738368869,27.11616510571912,93.77793593937531,261.6304794372991,2
0.268308,0.9902344,0.0017076663,4.0,-1.4708493,0.2748575,-0.29101253,-3.8250196,2.0,0.01786087,0.018231517,-3.2060266,29.159878,-29.451828,1.4116924,-19.073347,-34.664623,-29.430542,1.3903723,-19.338898,-34.65365,0.09478832814919065,0.0,0.09478832814919065,0.09478832814919065,-0.36089158,0.6749236,1.8909998,-2.4384966,-0.12677461,0.52196425,1.4949294,-1.3489149,-0.47737303,0.07893871,-0.39027268,-0.80069685,1.0,0.0,1.0,1.0,26.048177083333332,2.2416562445302564,32.0,22.0,-0.045466766,0.21186045,0.47295707,-0.48952675,26.048177083333332,2.2416562445302564,32,22,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.056532208,0.4846429,0.9966358,-0.98925054,1000.0,0.0,1000,1000,26.048177083333332,36,40000,40,35.97523437673226,31.146459036972374,25.880856464616954,93.00254987832159,355.0406491179019,3
0.27498963,0.9863281,0.0013386571,4.0,-1.4541831,0.28651053,-0.3015929,-3.0301168,2.0,0.055017516,0.068665266,-3.6244507,41.73751,-41.644295,4.160299,-22.96256,-63.78558,-41.706165,4.1446586,-23.321747,-64.472916,0.07092867224117613,0.0,0.07092867224117613,0.07092867224117613,-0.36989284,0.5984852,1.5875456,-2.8086507,0.016893093,0.4617438,2.446609,-1.1768898,-0.62659335,0.20686218,-0.24841756,-1.2064273,1.0,0.0,1.0,1.0,13.234126984126984,0.5779908686064961,14.0,12.0,0.052239493,0.21001971,0.24041049,-0.6422464,13.234126984126984,0.5779908686064961,14,12,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.05263218,0.43976128,0.9995716,-0.98686403,1000.0,0.0,1000,1000,13.234126984126984,46,50000,50,35.7978882137686,31.551523245405406,26.990816223435104,94.34022768260911,448.4685951494612,4
0.27175808,0.98828125,0.0012019773,4.0,-1.4640589,0.19107792,-0.32665423,-3.0367026,2.0,0.0633379,0.100048624,-3.355605,53.438488,-53.499886,5.8133936,-26.816551,-64.983,-53.49387,5.78816,-27.559298,-64.71047,0.05380273674661909,0.0,0.05380273674661909,0.05380273674661909,-0.14832622,0.6525013,1.856892,-3.3525672,-0.32026112,0.34191093,1.7615074,-1.2413952,-0.86822796,0.21403976,-0.50020975,-1.4901578,1.0,0.0,1.0,1.0,20.78920041536864,1.032296577845334,23.0,19.0,0.07614108,0.14097534,0.29930738,-0.4470578,20.78920041536864,1.032296577845334,23,19,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.16517355,0.38369188,0.94935584,-0.99780595,1000.0,0.0,1000,1000,20.78920041536864,56,60000,60,36.61780085694045,30.639537503011525,25.177444069180638,92.43478242913261,542.3881826153956,5
0.26919192,0.9921875,0.001278636,4.0,-1.4360176,0.22223935,-0.31582198,-1.7600894,2.0,1.8805674,2.2487879,-2.8789563,65.001335,-65.13112,5.420724,-33.65415,-99.851845,-65.15817,5.5224247,-34.06707,-102.30595,0.041454389935644244,0.0,0.041454389935644244,0.041454389935644244,0.095498845,0.69112617,3.9753876,-1.9361147,-0.02004868,0.43319726,2.3929493,-2.2330682,-1.2148591,0.26423284,-0.6642996,-2.2015517,1.0,0.0,1.0,1.0,19.969061876247505,0.8512295428932692,22.0,18.0,0.093097635,0.32771164,0.4809104,-0.60690856,19.969061876247505,0.8512295428932692,22,18,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.054222547,0.29379362,0.92720747,-0.9643159,1000.0,0.0,1000,1000,19.969061876247505,66,70000,70,37.5908380523324,32.126050592865795,28.05139886494726,97.76828751014546,641.178647919558,6
0.2706962,0.9902344,0.0008942047,4.0,-1.4300202,0.31230783,-0.30105695,-3.9431832,2.0,0.12609477,0.1744146,-1.6523094,75.94077,-75.4893,4.7150016,-46.876343,-104.02982,-75.48453,4.7003717,-47.238297,-104.389915,0.03245964540999793,0.0,0.03245964540999793,0.03245964540999793,0.51794153,0.67067975,5.00799,-2.3041134,0.13794844,0.40145612,1.3862302,-3.1442595,-1.7077732,0.15869339,-0.9825898,-2.0974028,1.0,0.0,1.0,1.0,40.81836734693878,4.164190073363251,53.0,33.0,-0.04507127,0.6188911,0.77445364,-0.8047732,40.81836734693878,4.164190073363251,53,33,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.007714899,0.23159891,0.9860161,-0.9812449,1000.0,0.0,1000,1000,40.81836734693878,76,80000,80,36.00318980123848,33.14851029030979,25.27226945385337,94.42396954540163,735.2789748087525,7
0.28574273,0.9863281,0.001431512,4.0,-1.484163,0.41411573,-0.35862428,-4.9220076,2.0,0.7604678,0.84481466,-0.4074745,84.39722,-85.168365,9.939419,-42.844448,-136.72906,-85.04941,9.737649,-45.529613,-136.03462,0.027842133043428197,0.0,0.027842133043428197,0.027842133043428197,0.8862169,0.8784729,3.933826,-4.9628224,0.30061507,0.52788204,1.7285143,-2.9575675,-1.9733416,0.33821976,-1.0106859,-2.9337053,1.0,0.0,1.0,1.0,79.40079365079364,2.423856170484912,85.0,74.0,0.05622626,0.65238863,0.96223176,-0.923522,79.40079365079364,2.423856170484912,85,74,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.008657579,0.27361962,0.9790153,-0.9944388,1000.0,0.0,1000,1000,79.40079365079364,86,90000,90,35.512554357759655,32.82444240897894,25.62835360551253,93.96535037225112,830.2542374259792,8
0.28774887,0.98046875,0.0020083324,4.0,-1.4727879,0.29447404,-0.34743857,-3.325327,2.0,3.968478,4.221302,-2.0966504,93.446396,-93.756096,11.841479,-47.750477,-147.82358,-93.66639,11.7962475,-49.037323,-147.60147,0.02446838915591187,0.0,0.02446838915591187,0.02446838915591187,0.434866,0.92754793,3.5009775,-3.8565924,-0.20100857,0.5062732,1.9173236,-1.8340342,-1.5936475,0.22260132,-0.8386434,-2.2408636,1.0,0.0,1.0,1.0,73.14963503649635,10.788758843585754,109.0,49.0,0.04325797,0.7733067,0.97834873,-0.8904884,73.14963503649635,10.788758843585754,109,49,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.15910259,0.40542248,0.9956142,-0.995144,1000.0,0.0,1000,1000,73.14963503649635,96,100000,100,37.778026999440044,33.8447546842508,28.327835332602262,99.95061701629311,930.7007331214845,9
