Inverse-Dynamic-MSE,Valid-InvDyn-MSE,State-Pred-Expt-MSE,State-Pred-Real-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.017315289,0.025583388,0.00047374077,501.1665,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.7320536e-05,0.06709929,0.96512794,-0.9745564,1000.0,0.0,1000,1000,10,0.009436978825465023,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.21424606,0.7992283,0.9999076,-0.9999891,1000.0,0.0,1000,1000,1000.0,10,10000,15,55.20577749289805,0,57.71197645715438,112.91775395005243,155.39681507699424,0
0.030641096,0.02764379,0.00010725866,292.6535,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.746483e-05,0.06725269,0.9802864,-0.9834671,1000.0,0.0,1000,1000,10,0.0018748979243035627,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.23819123,0.80132407,0.9998907,-0.9999945,1000.0,0.0,1000,1000,1000.0,20,20000,25,58.26355776801938,42.51118867297191,58.801669000065885,159.57641544105718,314.8648715130985,1
0.14615443,0.061727054,1.6118087e-05,1358.8241,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00015392243,0.46713918,0.9660334,-0.951171,1000.0,0.0,1000,1000,10,0.08838870776283558,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.10471265,0.6801707,0.9994043,-0.99998736,1000.0,0.0,1000,1000,1000.0,30,30000,35,56.35165276011685,42.43469357001595,61.72101260902127,160.50735893915407,476.0084227430634,2
0.018018216,0.018831803,1.19333e-05,2550.2634,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.624056e-05,0.06007478,0.9809967,-0.98298806,1000.0,0.0,1000,1000,10,0.0011799767978384174,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.04022456,0.834836,0.99998903,-0.9999895,1000.0,0.0,1000,1000,1000.0,40,40000,45,65.602137833077,43.06917214096757,61.75484998594038,170.42615995998494,646.3372628490324,3
0.010025182,0.021264357,2.0032332e-05,2006.7478,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00042579742,0.07070743,0.9786678,-0.97586495,1000.0,0.0,1000,1000,10,0.007127376794600951,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.27293658,0.75093395,0.9998869,-0.9999735,1000.0,0.0,1000,1000,1000.0,50,50000,55,61.319144292967394,42.97068019298604,59.858338858000934,164.14816334395437,810.8530665028957,4
0.02140562,0.025263011,8.826273e-06,1328.1466,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00032494776,0.112560354,0.98793364,-0.97023594,1000.0,0.0,1000,1000,10,0.027227169812238366,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.28081742,0.7781519,1.0,-0.9999746,1000.0,0.0,1000,1000,1000.0,60,60000,65,74.75105500401696,43.341956074000336,61.25346388696926,179.34647496498656,990.7447141628363,5
0.015109543,0.033301152,2.8557306e-05,955.90814,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0005940154,0.07553731,0.98314553,-0.96772957,1000.0,0.0,1000,1000,10,0.020822850555755782,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.29118413,0.77313447,1.0,-0.9999886,1000.0,0.0,1000,1000,1000.0,70,70000,75,70.15120025898796,43.903813157987315,64.13711792003596,178.19213133701123,1169.0861348337494,6
0.02109398,0.03681892,1.8735107e-06,1387.4912,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00070934574,0.1075725,0.983128,-0.9494881,1000.0,0.0,1000,1000,10,0.0485677282184751,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.19942342,0.85658056,1.0,-0.9997254,1000.0,0.0,1000,1000,1000.0,80,80000,85,67.97888154699467,44.04351714497898,62.72442977805622,174.74682847002987,1343.887870776758,7
0.018149778,0.036294427,1.903343e-05,1104.5402,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00069550314,0.12170117,0.9927773,-0.9469096,1000.0,0.0,1000,1000,10,0.06228703075558756,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.35817915,0.67774075,1.0,-0.99978626,1000.0,0.0,1000,1000,1000.0,90,90000,95,86.26920041796984,44.09736438601976,62.250830950040836,192.61739575403044,1537.3744990687119,8
0.044232123,0.041727293,4.8627876e-06,206.12054,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,6.884178e-05,0.12114033,0.9914453,-0.9503397,1000.0,0.0,1000,1000,10,0.06891590877762523,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.5008744,0.53883964,0.9999616,-0.9999446,1000.0,0.0,1000,1000,1000.0,100,100000,105,70.19090162502835,44.96880528697511,62.114666514855344,177.2743734268588,1715.0827225355897,9
0.04947252,0.043002307,1.1922365e-05,124.5584,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0006488973,0.092782736,0.9885774,-0.93527186,1000.0,0.0,1000,1000,10,0.06638545268211347,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.32344672,0.6880535,1.0,-0.9998168,1000.0,0.0,1000,1000,1000.0,110,110000,115,79.64567088597687,45.40213776001474,62.264127914910205,187.3119365609018,1903.4974708385998,10
