Inverse-Dynamic-MSE,Valid-InvDyn-MSE,State-Pred-Expt-MSE,State-Pred-Real-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.6404967,0.6572104,0.5184014,386.57,-0.04271305649957901,1.057638851821178,4.288782938938799,-2.728306007347684,-0.48327600804161697,7.957248597299517,127.27640370446156,-3.1580988006001354,0.109725825,0.7013449,0.9998804,-0.9998776,11.31447963800905,11.307786462609494,147,8,10,6.081035596273623,0.7302567724806018,1.5679273009369825,9.015569687395041,-8.62609957557465,730.2567724806016,263.46391878500776,1211.8317203831061,289.4681790846212,0.12787797,0.80314296,1.0,-0.99999994,1000.0,0.0,1000,1000,-0.48327600804161697,10,10000,15,53.267223470960744,0,47.43610306608025,100.703326537041,135.83615041297162,0
0.92741984,1.061781,0.30868566,324.34436,0.41221158396437396,1.5474922716063828,4.901129565789892,-7.266600624493283,14.478027913976783,29.611624248958865,401.9766026635395,-1.367368038271851,0.21365945,0.66152924,0.99999076,-0.99997514,35.12280701754386,34.32694720480332,215,9,10,10.861634196885666,0.7382695409393167,1.1994301442815754,7.711296559342969,-6.152822438135449,738.269540939317,357.61326685416526,1230.1490847166217,168.64455079809426,0.13746145,0.8380697,1.0,-1.0,1000.0,0.0,1000,1000,14.478027913976783,20,20000,25,57.05176908202702,35.180759600014426,47.28003104496747,139.51255972700892,277.5281321348739,1
1.0439563,0.9888664,0.28242853,439.35986,1.995522193365166,1.1970411067333488,4.660780692179837,-2.8945034536068053,274.8626801957088,99.26226578689194,444.76677079220525,25.811636900420226,0.25139645,0.57143044,0.9999082,-0.99995667,137.73972602739727,27.965745875815514,214,75,10,6.151168422526572,0.6550725454871659,1.295278235333051,6.9521470390175795,-5.050533548085506,655.0725454871662,478.4501542460289,1452.1105078724681,-28.718099412374947,0.1314046,0.84387463,1.0,-1.0,1000.0,0.0,1000,1000,274.8626801957088,30,30000,35,59.078601122950204,37.362459679017775,47.607640849018935,144.0487016509869,422.598320421821,2
0.6615386,0.9404712,0.20758384,587.3416,1.1046721278075402,1.3783975014481171,6.104873006193771,-4.187064785136228,119.88379627022695,131.50264135354792,562.6905633899466,9.305924282208778,0.20509781,0.64858884,0.9999941,-0.999998,108.52432432432433,47.010415208302256,271,32,10,17.684809812115347,0.6794120504778987,1.034256443292021,5.482147172292785,-5.969713344545634,679.4120504778986,409.0013420888263,1240.5226416980854,55.20314679547964,0.22098431,0.854733,1.0,-1.0,1000.0,0.0,1000,1000,119.88379627022695,40,40000,45,60.74496814003214,38.38596265797969,47.970192925015,147.10112372302683,569.8533655698411,3
0.6357843,0.83312166,0.17719433,879.40717,1.6084256233151157,1.461259686981169,5.43400996445832,-2.081023501090066,47.5936948863495,112.2697699954263,469.3826635972083,-1.4271092764989746,0.24778542,0.6045767,1.0,-0.99999934,29.590236686390533,47.281191695109165,236,9,10,19.98154567668927,0.8864858361349325,0.9180767429024006,5.261623010012434,-4.194918542452739,886.4858361349322,291.28371778532244,1326.8986898908452,537.2030920478048,0.20280358,0.85483825,1.0,-1.0,1000.0,0.0,1000,1000,47.5936948863495,50,50000,55,59.72416619514115,38.51925005298108,48.0959949149983,146.33941116312053,716.1147127568838,4
0.6968644,0.77918154,0.1970146,1127.7468,2.316626781791485,1.0984344836759325,5.34640104108739,-1.026685594241956,270.5873956173891,55.89903233091363,423.8073144420042,0.7768606719029301,0.31191933,0.55573255,0.99999917,-0.999999,116.80232558139535,18.012798916998694,155,10,10,16.81602427116006,0.9676044135174243,0.7594931832067321,5.102763644951551,-4.073119486148238,967.6044135174241,212.94514682106382,1257.0319739952854,748.0960496003836,0.31466565,0.83364314,1.0,-1.0,1000.0,0.0,1000,1000,270.5873956173891,60,60000,65,59.82629860797897,38.45924237003783,47.2494574401062,145.534998418123,862.5517078690464,5
0.55004543,0.71462375,0.14933348,1444.0686,1.0409356578722258,1.4333945226732463,5.189613473876895,-1.076585512817489,17.28298730875487,63.65909823067857,343.8215944321628,-1.0409357350671211,0.23772854,0.60237014,0.99999917,-0.9999896,16.60331950207469,26.1767117481085,143,9,10,4.868670536092107,0.8950757115073847,0.9920347834111357,6.3685250530810125,-4.969405371654509,895.0757115073841,358.95463495094924,1585.7566125983199,473.2402570551868,0.17710738,0.86599225,1.0,-1.0,1000.0,0.0,1000,1000,17.28298730875487,70,70000,75,60.585576074023265,39.366641841013916,47.230028659978416,147.1822465750156,1007.8757046571118,6
0.62254024,0.69391537,0.12594812,1487.3627,2.055175729039202,1.171908749384556,5.662715307889417,-2.650755362774403,274.22894811146415,101.36384263473809,523.2106228094656,20.506080965605104,0.23343758,0.6270863,1.0,-1.0,133.43333333333334,31.988626451009463,250,68,10,24.049770350654402,1.0036534982363872,1.010709396314352,7.25869670497887,-3.98077481045982,1003.6534982363867,252.71635284488147,1312.0426905135923,603.5322418155789,0.24505752,0.85947615,1.0,-1.0,1000.0,0.0,1000,1000,274.22894811146415,80,80000,85,69.93495321291266,37.509334926027805,47.04269044898683,154.4869785879273,1164.7019360490376,7
0.47856164,0.68336535,0.12482311,1209.783,1.8974141433503262,1.284672184665995,4.939421243260583,-2.026276921985178,94.69563404207003,124.88727040802296,387.8470878040756,-1.2389391023494642,0.25618893,0.6076587,1.0,-0.9999992,49.907730673316706,52.29256814671502,239,9,10,37.12090763061086,0.997500917207362,1.119534715783146,7.632418945351465,-4.2952364124195155,997.5009172073624,385.37300784157685,1651.4549138484629,592.5246380835877,0.18274508,0.8531408,1.0,-1.0,1000.0,0.0,1000,1000,94.69563404207003,90,90000,95,68.92277110303985,39.85548258497147,46.88535705709364,155.66361074510496,1320.5186238341266,8
0.6359941,0.6720078,0.12878339,1478.3457,1.5464384529616473,1.3797225342737995,7.277066165744824,-4.379326944817114,181.1670629487046,134.31272544722387,429.4678998766956,14.898398071698278,0.23652183,0.67341447,1.0,-0.99999994,117.15116279069767,45.950306181600155,245,33,10,46.5245150054838,1.150513562707296,1.2126291213579037,7.145179163738657,-5.82547730512768,1150.5135627072962,383.35666260539534,1638.0387317263526,545.2038240669436,0.27093452,0.8451399,1.0,-1.0,1000.0,0.0,1000,1000,181.1670629487046,100,100000,105,65.07201748999069,40.00448286498431,47.362366264045704,152.4388666190207,1472.6779936031671,9
